axis,metric,n,corr,scaps_min,scaps_max,solarlab_min,solarlab_max
cbo_delta_ec_eV,PCE_percent,11,0.5645732419432331,0.7158,29.8159,18.689329031357232,19.680287314181577
cbo_delta_ec_eV,Voc_V,11,0.7315706738977789,0.332353,1.250391,1.0017792221260562,1.005588559808471
cbo_delta_ec_eV,FF_percent,11,0.16134208531357438,23.7528,90.7313,71.00160255542909,74.70385298902097
cbo_delta_ec_eV,Jsc_mA_cm2,11,-0.10582081340801158,2.45338907,26.30453758,26.275654281897907,26.29044546025637
etl_donor_cm3,PCE_percent,6,0.8076020739735299,17.5945,29.2855,13.023056318013845,19.67891820481858
etl_donor_cm3,Voc_V,6,-0.7319701868582678,1.100196,1.237259,1.0019713023372154,1.1131199888025354
etl_donor_cm3,FF_percent,6,0.92397213814284,60.8285,90.063,44.50366124214148,74.70477941611702
etl_donor_cm3,Jsc_mA_cm2,6,-0.9321268102996583,26.28120163,26.29049969,26.289068369906953,26.2904215544733
pvk_etl_edge_nt_proxy_cm3,PCE_percent,7,0.6995065444673341,21.9278,29.8175,19.340344938944533,19.67336320908556
pvk_etl_edge_nt_proxy_cm3,Voc_V,7,0.666053784625852,0.967755,1.249473,0.83879901450412,1.002040119482067
pvk_etl_edge_nt_proxy_cm3,FF_percent,7,-0.4801504511078096,86.2206,90.7999,74.67868031225153,87.7151445990468
pvk_etl_edge_nt_proxy_cm3,Jsc_mA_cm2,7,0.9999922465547176,26.27962552,26.28199622,26.28643680510678,26.290380107123536
absorber_trap_depth_below_cb_eV,PCE_percent,8,0.7404490892308213,26.6899,27.7347,19.673363272493447,19.717254252255522
absorber_trap_depth_below_cb_eV,Voc_V,8,0.8977140561416461,1.167494,1.201974,1.00204011951833,1.003608677368403
absorber_trap_depth_below_cb_eV,FF_percent,8,0.27261807759529655,86.9829,87.7951,74.67868050218964,74.80926965999576
absorber_trap_depth_below_cb_eV,Jsc_mA_cm2,8,0.9112080596808639,26.28199374,26.28199587,26.290380124039785,26.290621267636062
