N_d,V_oc,J_sc,voc_bracketed,physical,V_oc_scaps,error
10000000000.0,0.0,331.9871949074325,False,False,1.100196,
100000000000.0,0.0,332.077539793945,False,False,1.12464,
1000000000000.0,0.0,332.1760572192659,False,False,1.132448,
10000000000000.0,1.095351911536691,332.28264210232544,True,True,1.137615,
100000000000000.0,1.0793268281650343,332.39732363255547,True,True,1.141248,
1000000000000000.0,1.068348135933831,332.5222468524883,True,True,1.143994,
1e+16,1.0656311192296792,332.6823075052953,True,True,1.14637,
1e+17,1.06593798902055,333.0800243596076,True,True,1.151017,
1e+18,1.0710669562352568,333.5041323933405,True,True,1.16755,
1e+19,1.0801689936818808,333.75220241446567,True,True,1.202403,
1e+20,1.0844030532772262,333.9243769176582,True,True,1.237259,
