N_d,V_oc,J_sc,voc_bracketed,physical,V_oc_scaps,error
10000000000.0,0.0,332.0129051128415,False,False,1.100196,
100000000000.0,0.0,332.10325306216276,False,False,1.12464,
1000000000000.0,0.0,0.0,False,False,1.132448,ValueError: array must not contain infs or NaNs
10000000000000.0,1.0946587583638145,332.30836227900807,True,True,1.137615,
100000000000000.0,1.0793958626073592,332.4230476466834,True,True,1.141248,
1000000000000000.0,1.068364920734356,332.54797503090055,True,True,1.143994,
1e+16,1.065621118707295,332.70804092550276,True,True,1.14637,
1e+17,1.0659436827577617,333.10577008544203,True,True,1.151017,
1e+18,1.0710724304515742,333.5298929369699,True,True,1.16755,
1e+19,1.0801748185937647,333.7779713419368,True,True,1.202403,
1e+20,1.084409098121256,333.9501515067503,True,True,1.237259,
