x,V_oc_sl,V_oc_scaps,V_oc_delta_mV,J_sc_sl,J_sc_scaps,FF_sl,FF_scaps,PCE_sl,PCE_scaps,voc_bracketed
-1.000000e+00,0.237207,0.332353,-95.146,271.2453,263.0454,0.611278,0.671265,0.039330,0.058685,True
-7.500000e-01,0.485766,0.580953,-95.187,271.3741,262.8894,0.735517,0.774679,0.096959,0.118314,True
-5.000000e-01,0.734536,0.830850,-96.314,271.4486,262.8441,0.794987,0.827910,0.158511,0.180802,True
-2.500000e-01,0.982080,1.080493,-98.413,271.5501,262.8239,0.848227,0.859878,0.226208,0.244188,True
-2.000000e-01,1.028280,1.129308,-101.028,271.5735,262.8208,0.866859,0.865152,0.242073,0.256782,True
-1.600000e-01,1.051773,1.167550,-115.777,271.5928,262.8199,0.870406,0.869876,0.248635,0.266926,True
-1.000000e-01,1.074809,1.217203,-142.394,271.6217,262.8154,0.857991,0.880108,0.250483,0.281546,True
-5.000000e-02,1.080313,1.240043,-159.730,271.6424,262.8156,0.868368,0.894021,0.254830,0.291364,True
0.000000e+00,1.081227,1.247696,-166.469,271.6558,262.8148,0.869616,0.904240,0.255425,0.296512,True
1.000000e-01,1.080512,1.250391,-169.879,271.6673,262.8116,0.868450,0.907313,0.254925,0.298159,True
2.000000e-01,1.079637,1.250158,-170.521,271.6714,262.8141,0.866520,0.907096,0.254156,0.298035,True
3.000000e-01,1.079595,1.249937,-170.342,271.6722,262.8168,0.858775,0.904411,0.251875,0.297103,True
4.000000e-01,1.083456,1.248839,-165.383,271.6460,262.8239,0.838794,0.651522,0.246871,0.213846,True
5.000000e-01,1.081345,1.228325,-146.980,271.4522,24.5339,0.484146,0.237528,0.142113,0.007158,True
