x,V_oc_sl,V_oc_scaps,V_oc_delta_mV,J_sc_sl,J_sc_scaps,FF_sl,FF_scaps,PCE_sl,PCE_scaps,voc_bracketed
1.000000e+10,0.000000,1.100196,-1100.196,271.3814,262.9050,0.000000,0.608285,0.000000,0.175945,False
1.000000e+11,0.000000,1.124640,-1124.640,271.3943,262.8959,0.000000,0.643912,0.000000,0.190381,False
1.000000e+12,0.000000,1.132448,-1132.448,271.4082,262.8887,0.000000,0.688235,0.000000,0.204893,False
1.000000e+13,1.092044,1.137615,-45.571,271.4232,262.8759,0.681365,0.733378,0.201961,0.219318,True
1.000000e+14,1.057053,1.141248,-84.195,271.4393,262.8706,0.757186,0.775039,0.217256,0.232512,True
1.000000e+15,1.040909,1.143994,-103.085,271.4569,262.8631,0.787761,0.803336,0.222591,0.241574,True
1.000000e+16,1.037862,1.146370,-108.508,271.4792,262.8571,0.812356,0.821615,0.228888,0.247579,True
1.000000e+17,1.039090,1.151017,-111.927,271.5341,262.8416,0.847618,0.843099,0.239154,0.255067,True
1.000000e+18,1.051773,1.167550,-115.777,271.5928,262.8199,0.870406,0.869876,0.248635,0.266926,True
1.000000e+19,1.074219,1.202403,-128.184,271.6275,262.8132,0.859701,0.889143,0.250850,0.280976,True
1.000000e+20,1.080956,1.237259,-156.303,271.6517,262.8120,0.869598,0.900630,0.255352,0.292855,True
