depth_nm,E_C_eV,E_V_eV,n_cm-3,p_cm-3,rho_C_cm-3,phi_V
0.0000,-2.40000,-5.65000,1.5786e-32,1.0000e+18,0.0000e+00,0.00000
0.0217,-2.40002,-5.65002,4.4039e+10,9.9923e+17,-1.2357e-04,0.00002
0.0529,-2.40005,-5.65005,1.0695e+11,9.9812e+17,-3.0070e-04,0.00005
0.0975,-2.40009,-5.65009,1.9656e+11,9.9654e+17,-5.5422e-04,0.00009
0.1614,-2.40015,-5.65015,3.2362e+11,9.9428e+17,-9.1635e-04,0.00015
0.2526,-2.40024,-5.65024,5.0265e+11,9.9106e+17,-1.4322e-03,0.00024
0.3823,-2.40036,-5.65036,7.5264e+11,9.8649e+17,-2.1643e-03,0.00036
0.5660,-2.40053,-5.65053,1.0971e+12,9.8004e+17,-3.1986e-03,0.00053
0.8243,-2.40077,-5.65077,1.5630e+12,9.7097e+17,-4.6519e-03,0.00077
1.1841,-2.40112,-5.65112,2.1759e+12,9.5829e+17,-6.6831e-03,0.00112
1.6786,-2.40161,-5.65161,2.9511e+12,9.4064e+17,-9.5104e-03,0.00161
2.3462,-2.40230,-5.65230,3.8774e+12,9.1609e+17,-1.3445e-02,0.00230
3.2257,-2.40330,-5.65330,4.8961e+12,8.8172e+17,-1.8951e-02,0.00330
4.3479,-2.40479,-5.65479,5.8881e+12,8.3315e+17,-2.6733e-02,0.00479
5.7226,-2.40705,-5.65705,6.6879e+12,7.6419e+17,-3.7783e-02,0.00705
7.3252,-2.41054,-5.66054,7.1442e+12,6.6827e+17,-5.3150e-02,0.01054
9.0889,-2.41591,-5.66591,7.2042e+12,5.4385e+17,-7.3084e-02,0.01591
10.9111,-2.42375,-5.67375,6.9478e+12,4.0244e+17,-9.5741e-02,0.02375
12.6748,-2.43425,-5.68425,6.5234e+12,2.6891e+17,-1.1713e-01,0.03425
14.2774,-2.44683,-5.69683,6.0418e+12,1.6602e+17,-1.3362e-01,0.04683
15.6521,-2.46025,-5.71025,5.5313e+12,9.9391e+16,-1.4429e-01,0.06025
16.7743,-2.47314,-5.72314,4.9682e+12,6.0841e+16,-1.5047e-01,0.07314
17.6538,-2.48452,-5.73452,4.3301e+12,3.9568e+16,-1.5388e-01,0.08452
18.3214,-2.49392,-5.74392,3.6297e+12,2.7812e+16,-1.5576e-01,0.09392
18.8159,-2.50132,-5.75132,2.9135e+12,2.1129e+16,-1.5683e-01,0.10132
19.1757,-2.50693,-5.75693,2.2380e+12,1.7184e+16,-1.5746e-01,0.10693
19.4340,-2.51108,-5.76108,1.6464e+12,1.4767e+16,-1.5785e-01,0.11108
19.6177,-2.51409,-5.76409,1.1589e+12,1.3238e+16,-1.5810e-01,0.11409
19.7474,-2.51625,-5.76625,7.7551e+11,1.2246e+16,-1.5826e-01,0.11625
19.8386,-2.51778,-5.76778,4.8450e+11,1.1590e+16,-1.5836e-01,0.11778
19.9025,-2.51886,-5.76886,2.6918e+11,1.1149e+16,-1.5843e-01,0.11886
19.9471,-2.51962,-5.76962,1.1279e+11,1.0851e+16,-1.5848e-01,0.11962
19.9783,-2.52015,-5.77015,6.6367e+08,1.0647e+16,-1.5851e-01,0.12015
20.0000,-4.06041,-5.59041,6.7098e+13,1.1138e+19,1.7846e+00,0.12041
20.8687,-4.06353,-5.59353,3.0279e+12,3.9492e+17,6.3289e-02,0.12353
22.1151,-4.06770,-5.59770,3.5571e+12,3.3610e+17,5.3865e-02,0.12770
23.9013,-4.07314,-5.60314,4.3889e+12,2.7229e+17,4.3641e-02,0.13314
26.4569,-4.08005,-5.61005,5.7284e+12,2.0846e+17,3.3414e-02,0.14005
30.1047,-4.08852,-5.61852,7.9418e+12,1.5017e+17,2.4074e-02,0.14852
35.2939,-4.09858,-5.62858,1.1694e+13,1.0179e+17,1.6323e-02,0.15858
42.6407,-4.11007,-5.64007,1.8192e+13,6.5263e+16,1.0469e-02,0.17007
52.9720,-4.12275,-5.65275,2.9612e+13,3.9967e+16,6.4148e-03,0.18275
67.3626,-4.13625,-5.66625,4.9740e+13,2.3709e+16,3.8066e-03,0.19625
87.1443,-4.15012,-5.68012,8.4736e+13,1.3864e+16,2.2237e-03,0.21012
113.8483,-4.16381,-5.69381,1.4339e+14,8.1620e+15,1.3007e-03,0.22381
149.0284,-4.17670,-5.70670,2.3520e+14,4.9585e+15,7.7277e-04,0.23670
193.9145,-4.18808,-5.71808,3.6409e+14,3.1928e+15,4.6923e-04,0.24808
248.9026,-4.19733,-5.72733,5.1915e+14,2.2326e+15,2.9055e-04,0.25733
313.0066,-4.20407,-5.73407,6.7200e+14,1.7203e+15,1.8397e-04,0.26407
383.5560,-4.20831,-5.73831,7.8965e+14,1.4603e+15,1.2348e-04,0.26831
456.4440,-4.21034,-5.74034,8.5196e+14,1.3503e+15,9.5872e-05,0.27034
526.9934,-4.21053,-5.74053,8.5641e+14,1.3403e+15,9.3553e-05,0.27053
591.0974,-4.20923,-5.73923,8.1281e+14,1.4092e+15,1.1157e-04,0.26923
646.0855,-4.20679,-5.73679,7.3807e+14,1.5488e+15,1.4592e-04,0.26679
690.9716,-4.20361,-5.73361,6.5132e+14,1.7519e+15,1.9235e-04,0.26361
726.1517,-4.20012,-5.73012,5.6829e+14,2.0046e+15,2.4614e-04,0.26012
752.8557,-4.19674,-5.72674,4.9783e+14,2.2850e+15,3.0236e-04,0.25674
772.6374,-4.19372,-5.72372,4.4252e+14,2.5675e+15,3.5649e-04,0.25372
787.0280,-4.19121,-5.72121,4.0116e+14,2.8295e+15,4.0509e-04,0.25121
797.3593,-4.18922,-5.71922,3.7113e+14,3.0562e+15,4.4621e-04,0.24922
804.7061,-4.18770,-5.71770,3.4970e+14,3.2415e+15,4.7934e-04,0.24770
809.8953,-4.18656,-5.71656,3.3458e+14,3.3866e+15,5.0500e-04,0.24656
813.5431,-4.18574,-5.71574,3.2397e+14,3.4964e+15,5.2430e-04,0.24574
816.0987,-4.18515,-5.71515,3.1654e+14,3.5776e+15,5.3850e-04,0.24515
817.8849,-4.18472,-5.71472,3.1136e+14,3.6365e+15,5.4877e-04,0.24472
819.1313,-4.18443,-5.71443,3.0776e+14,3.6787e+15,5.5611e-04,0.24443
820.0000,-4.34355,-6.24355,1.1486e+18,-3.3448e+13,-2.3810e-02,0.24355
