depth_nm,E_C_eV,E_V_eV,n_cm-3,p_cm-3,rho_C_cm-3,phi_V
0.0000,-2.40000,-5.65000,1.5786e-32,1.0000e+18,0.0000e+00,0.00000
0.0217,-2.40002,-5.65002,4.3812e+10,9.9921e+17,-1.2610e-04,0.00002
0.0529,-2.40005,-5.65005,1.0640e+11,9.9808e+17,-3.0685e-04,0.00005
0.0975,-2.40009,-5.65009,1.9554e+11,9.9647e+17,-5.6556e-04,0.00009
0.1614,-2.40015,-5.65015,3.2194e+11,9.9416e+17,-9.3508e-04,0.00015
0.2526,-2.40024,-5.65024,5.0005e+11,9.9088e+17,-1.4614e-03,0.00024
0.3823,-2.40036,-5.65036,7.4873e+11,9.8622e+17,-2.2083e-03,0.00036
0.5660,-2.40054,-5.65054,1.0914e+12,9.7963e+17,-3.2634e-03,0.00054
0.8243,-2.40079,-5.65079,1.5547e+12,9.7038e+17,-4.7458e-03,0.00079
1.1841,-2.40114,-5.65114,2.1643e+12,9.5745e+17,-6.8170e-03,0.00114
1.6786,-2.40164,-5.65164,2.9351e+12,9.3947e+17,-9.6991e-03,0.00164
2.3462,-2.40235,-5.65235,3.8557e+12,9.1445e+17,-1.3708e-02,0.00235
3.2257,-2.40337,-5.65337,4.8678e+12,8.7946e+17,-1.9313e-02,0.00337
4.3479,-2.40489,-5.65489,5.8524e+12,8.3007e+17,-2.7227e-02,0.00489
5.7226,-2.40719,-5.65719,6.6453e+12,7.6006e+17,-3.8444e-02,0.00719
7.3252,-2.41076,-5.66076,7.0968e+12,6.6295e+17,-5.4002e-02,0.01076
9.0889,-2.41622,-5.66622,7.1556e+12,5.3750e+17,-7.4101e-02,0.01622
10.9111,-2.42420,-5.67420,6.9024e+12,3.9572e+17,-9.6817e-02,0.02420
12.6748,-2.43486,-5.68486,6.4847e+12,2.6281e+17,-1.1811e-01,0.03486
14.2774,-2.44761,-5.69761,6.0114e+12,1.6121e+17,-1.3439e-01,0.04761
15.6521,-2.46119,-5.71119,5.5095e+12,9.5942e+16,-1.4485e-01,0.06119
16.7743,-2.47423,-5.72423,4.9544e+12,5.8445e+16,-1.5085e-01,0.07423
17.6538,-2.48572,-5.73572,4.3231e+12,3.7872e+16,-1.5415e-01,0.08572
18.3214,-2.49521,-5.74521,3.6276e+12,2.6553e+16,-1.5596e-01,0.09521
18.8159,-2.50267,-5.75267,2.9144e+12,2.0141e+16,-1.5699e-01,0.10267
19.1757,-2.50833,-5.75833,2.2403e+12,1.6364e+16,-1.5760e-01,0.10833
19.4340,-2.51251,-5.76251,1.6490e+12,1.4055e+16,-1.5797e-01,0.11251
19.6177,-2.51555,-5.76555,1.1612e+12,1.2595e+16,-1.5820e-01,0.11555
19.7474,-2.51772,-5.76772,7.7729e+11,1.1649e+16,-1.5835e-01,0.11772
19.8386,-2.51927,-5.76927,4.8572e+11,1.1024e+16,-1.5845e-01,0.11927
19.9025,-2.52036,-5.77036,2.6991e+11,1.0604e+16,-1.5852e-01,0.12036
19.9471,-2.52112,-5.77112,1.1310e+11,1.0320e+16,-1.5856e-01,0.12112
19.9783,-2.52166,-5.77166,6.6558e+08,1.0125e+16,-1.5860e-01,0.12166
20.0000,-4.06192,-5.59192,8.6734e+11,1.0592e+19,1.6970e+00,0.12192
20.8687,-4.06520,-5.59520,3.9310e+10,3.7312e+17,5.9797e-02,0.12520
22.1151,-4.06963,-5.59963,4.5800e+10,3.1441e+17,5.0390e-02,0.12963
23.9013,-4.07548,-5.60548,5.5283e+10,2.5078e+17,4.0195e-02,0.13548
26.4569,-4.08303,-5.61303,6.9039e+10,1.8726e+17,3.0018e-02,0.14303
30.1047,-4.09257,-5.62257,8.8658e+10,1.2947e+17,2.0759e-02,0.15257
35.2939,-4.10441,-5.63441,1.1579e+11,8.1897e+16,1.3137e-02,0.16441
42.6407,-4.11896,-5.64896,1.5156e+11,4.6636e+16,7.4879e-03,0.17896
52.9720,-4.13694,-5.66694,1.9570e+11,2.3264e+16,3.7433e-03,0.19694
67.3626,-4.15956,-5.68956,2.4604e+11,9.6989e+15,1.5699e-03,0.21956
87.1443,-4.18872,-5.71872,2.9896e+11,3.1399e+15,5.1904e-04,0.24872
113.8483,-4.22691,-5.75691,3.5056e+11,7.1695e+14,1.3083e-04,0.28691
149.0284,-4.27670,-5.80670,3.9729e+11,1.0464e+14,3.2723e-05,0.33670
193.9145,-4.34001,-5.87001,4.3682e+11,9.1564e+12,1.7419e-05,0.40001
248.9026,-4.41740,-5.94740,4.6694e+11,5.4345e+11,1.6034e-05,0.47740
313.0066,-4.50739,-6.03739,4.8740e+11,7.4210e+10,1.5956e-05,0.56739
383.5560,-4.60616,-6.13616,5.0314e+11,4.0773e+10,1.5948e-05,0.66616
456.4440,-4.70790,-6.23790,5.1203e+11,2.5969e+10,1.5944e-05,0.76790
526.9934,-4.80608,-6.33608,5.2052e+11,1.8558e+10,1.5941e-05,0.86608
591.0974,-4.89503,-6.42503,5.2522e+11,1.1581e+10,1.5939e-05,0.95503
646.0855,-4.97115,-6.50115,5.3662e+11,8.6259e+09,1.5937e-05,1.03115
690.9716,-5.03316,-6.56316,6.2092e+11,6.2140e+09,1.5923e-05,1.09316
726.1517,-5.08167,-6.61167,1.1135e+12,3.6508e+09,1.5844e-05,1.14167
752.8557,-5.11845,-6.64845,2.9379e+12,2.2857e+09,1.5551e-05,1.17845
772.6374,-5.14567,-6.67567,7.4216e+12,1.7304e+09,1.4833e-05,1.20567
787.0280,-5.16545,-6.69545,1.5340e+13,1.4523e+09,1.3564e-05,1.22545
797.3593,-5.17965,-6.70965,2.6176e+13,1.2514e+09,1.1828e-05,1.23965
804.7061,-5.18975,-6.71975,3.8424e+13,1.0855e+09,9.8658e-06,1.24975
809.8953,-5.19688,-6.72688,5.0454e+13,9.5086e+08,7.9383e-06,1.25688
813.5431,-5.20189,-6.73189,6.1131e+13,8.4598e+08,6.2277e-06,1.26189
816.0987,-5.20540,-6.73540,6.9943e+13,7.6714e+08,4.8157e-06,1.26540
