depth_nm,E_C_eV,E_V_eV,n_cm-3,p_cm-3,rho_C_cm-3,phi_V
0.0000,-2.40000,-5.65000,1.5786e-32,1.0000e+18,0.0000e+00,0.00000
0.0217,-2.40002,-5.65002,4.4493e+10,9.9926e+17,-1.1914e-04,0.00002
0.0529,-2.40005,-5.65005,1.0806e+11,9.9819e+17,-2.8994e-04,0.00005
0.0975,-2.40009,-5.65009,1.9859e+11,9.9666e+17,-5.3442e-04,0.00009
0.1614,-2.40014,-5.65014,3.2696e+11,9.9449e+17,-8.8364e-04,0.00014
0.2526,-2.40022,-5.65022,5.0785e+11,9.9138e+17,-1.3812e-03,0.00022
0.3823,-2.40034,-5.65034,7.6044e+11,9.8697e+17,-2.0876e-03,0.00034
0.5660,-2.40050,-5.65050,1.1085e+12,9.8074e+17,-3.0856e-03,0.00050
0.8243,-2.40073,-5.65073,1.5793e+12,9.7198e+17,-4.4888e-03,0.00073
1.1841,-2.40106,-5.65106,2.1987e+12,9.5974e+17,-6.4508e-03,0.00106
1.6786,-2.40152,-5.65152,2.9823e+12,9.4268e+17,-9.1843e-03,0.00152
2.3462,-2.40218,-5.65218,3.9189e+12,9.1891e+17,-1.2993e-02,0.00218
3.2257,-2.40314,-5.65314,4.9497e+12,8.8559e+17,-1.8331e-02,0.00314
4.3479,-2.40455,-5.65455,5.9542e+12,8.3839e+17,-2.5894e-02,0.00455
5.7226,-2.40671,-5.65671,6.7650e+12,7.7112e+17,-3.6672e-02,0.00671
7.3252,-2.41007,-5.66007,7.2281e+12,6.7709e+17,-5.1736e-02,0.01007
9.0889,-2.41525,-5.66525,7.2880e+12,5.5423e+17,-7.1422e-02,0.01525
10.9111,-2.42283,-5.67283,7.0241e+12,4.1319e+17,-9.4018e-02,0.02283
12.6748,-2.43304,-5.68304,6.5867e+12,2.7840e+17,-1.1561e-01,0.03304
14.2774,-2.44531,-5.69531,6.0899e+12,1.7316e+17,-1.3247e-01,0.04531
15.6521,-2.45843,-5.70843,5.5642e+12,1.0417e+17,-1.4353e-01,0.05843
16.7743,-2.47108,-5.72108,4.9874e+12,6.3823e+16,-1.4999e-01,0.07108
17.6538,-2.48227,-5.73227,4.3382e+12,4.1382e+16,-1.5359e-01,0.08227
18.3214,-2.49152,-5.74152,3.6299e+12,2.8911e+16,-1.5559e-01,0.09152
18.8159,-2.49880,-5.74880,2.9092e+12,2.1796e+16,-1.5673e-01,0.09880
19.1757,-2.50433,-5.75433,2.2320e+12,1.7586e+16,-1.5740e-01,0.10433
19.4340,-2.50842,-5.75842,1.6405e+12,1.5003e+16,-1.5781e-01,0.10842
19.6177,-2.51139,-5.76139,1.1539e+12,1.3367e+16,-1.5808e-01,0.11139
19.7474,-2.51352,-5.76352,7.7177e+11,1.2306e+16,-1.5825e-01,0.11352
19.8386,-2.51503,-5.76503,4.8199e+11,1.1603e+16,-1.5836e-01,0.11503
19.9025,-2.51610,-5.76610,2.6772e+11,1.1131e+16,-1.5843e-01,0.11610
19.9471,-2.51685,-5.76685,1.1215e+11,1.0812e+16,-1.5849e-01,0.11685
19.9783,-2.51738,-5.76738,6.5985e+08,1.0593e+16,-1.5852e-01,0.11738
20.0000,-4.05763,-5.58763,3.9881e+15,1.1083e+19,1.7750e+00,0.11763
20.8687,-4.06068,-5.59068,1.7955e+14,3.9388e+17,6.3094e-02,0.12068
22.1151,-4.06477,-5.59477,2.1027e+14,3.3635e+17,5.3872e-02,0.12477
23.9013,-4.07008,-5.60008,2.5832e+14,2.7381e+17,4.3844e-02,0.13008
26.4569,-4.07681,-5.60681,3.3506e+14,2.1111e+17,3.3786e-02,0.13681
30.1047,-4.08501,-5.61501,4.6022e+14,1.5371e+17,2.4570e-02,0.14501
35.2939,-4.09463,-5.62463,6.6766e+14,1.0596e+17,1.6886e-02,0.15463
42.6407,-4.10541,-5.63541,1.0133e+15,6.9823e+16,1.1041e-02,0.16541
52.9720,-4.11690,-5.64690,1.5804e+15,4.4768e+16,6.9355e-03,0.17690
67.3626,-4.12841,-5.65841,2.4667e+15,2.8682e+16,4.2161e-03,0.18841
87.1443,-4.13904,-5.66904,3.7214e+15,1.9012e+16,2.4658e-03,0.19904
113.8483,-4.14782,-5.67782,5.2251e+15,1.3540e+16,1.3482e-03,0.20782
149.0284,-4.15403,-5.68403,6.6443e+15,1.0647e+16,6.5729e-04,0.21403
193.9145,-4.15765,-5.68765,7.6438e+15,9.2536e+15,2.7394e-04,0.21765
248.9026,-4.15935,-5.68935,8.1624e+15,8.6641e+15,9.6409e-05,0.21935
