# AM1.5G global tilt photon flux derived from ASTM G-173-03 reference spectrum.
# Source: pvlib.spectrum.get_reference_spectra() (NREL ASTM G-173 mirror).
# Column 1: wavelength [nm].  Column 2: photon flux [photons/m^2/s/m].
# Conversion: Phi(lam) = E(lam) [W/m^2/nm] * 1e9 [nm/m] * lam [m] / (h*c).
# Range: 280-1500 nm at native ASTM sampling.
# wavelength_nm,spectral_flux_m-2_s-1_m-1
2.800000e+02,6.668453e+04
2.805000e+02,1.737834e+06
2.810000e+02,8.048291e+06
2.815000e+02,2.219468e+08
2.820000e+02,1.695879e+09
2.825000e+02,6.461626e+09
2.830000e+02,2.628773e+10
2.835000e+02,5.046480e+10
2.840000e+02,1.038955e+12
2.845000e+02,3.559892e+12
2.850000e+02,1.149816e+13
2.855000e+02,6.124512e+13
2.860000e+02,1.970164e+14
2.865000e+02,1.208958e+15
2.870000e+02,3.953961e+15
2.875000e+02,1.578000e+16
2.880000e+02,9.037778e+16
2.885000e+02,2.492510e+17
2.890000e+02,8.185768e+17
2.895000e+02,3.023911e+18
2.900000e+02,8.783889e+18
2.905000e+02,2.015641e+19
2.910000e+02,5.134865e+19
2.915000e+02,1.601423e+20
2.920000e+02,3.943908e+20
2.925000e+02,6.285277e+20
2.930000e+02,1.275370e+21
2.935000e+02,3.354989e+21
2.940000e+02,6.178238e+21
2.945000e+02,9.771618e+21
2.950000e+02,1.825144e+22
2.955000e+02,4.139344e+22
2.960000e+02,7.138168e+22
2.965000e+02,1.064907e+23
2.970000e+02,1.447288e+23
2.975000e+02,2.786827e+23
2.980000e+02,4.348683e+23
2.985000e+02,5.377955e+23
2.990000e+02,7.407244e+23
2.995000e+02,1.297663e+24
3.000000e+02,1.541195e+24
3.005000e+02,1.883376e+24
3.010000e+02,2.924469e+24
3.015000e+02,4.084970e+24
3.020000e+02,4.440654e+24
3.025000e+02,6.523762e+24
3.030000e+02,1.082151e+25
3.035000e+02,1.371937e+25
3.040000e+02,1.449277e+25
3.045000e+02,1.832262e+25
3.050000e+02,2.527738e+25
3.055000e+02,2.878837e+25
3.060000e+02,2.861675e+25
3.065000e+02,3.256873e+25
3.070000e+02,4.303990e+25
3.075000e+02,5.516265e+25
3.080000e+02,5.866657e+25
3.085000e+02,6.434182e+25
3.090000e+02,6.305234e+25
3.095000e+02,6.747331e+25
3.100000e+02,7.949419e+25
3.105000e+02,1.024451e+26
3.110000e+02,1.298235e+26
3.115000e+02,1.318481e+26
3.120000e+02,1.466605e+26
3.125000e+02,1.557178e+26
3.130000e+02,1.691176e+26
3.135000e+02,1.697665e+26
3.140000e+02,1.891955e+26
3.145000e+02,2.067698e+26
3.150000e+02,2.160580e+26
3.155000e+02,1.880187e+26
3.160000e+02,1.964296e+26
3.165000e+02,2.395683e+26
3.170000e+02,2.738099e+26
3.175000e+02,2.916157e+26
3.180000e+02,2.816534e+26
3.185000e+02,2.980818e+26
3.190000e+02,3.287243e+26
3.195000e+02,3.150695e+26
3.200000e+02,3.306730e+26
3.205000e+02,3.956948e+26
3.210000e+02,4.043757e+26
3.215000e+02,3.858914e+26
