wavelength_nm,n,k
300.0,1.3453,0.9849
305.0,1.2521,0.8184
310.0,1.1450,0.6409
315.0,0.9881,0.5167
320.0,0.8232,0.4012
325.0,0.5448,0.5731
330.0,0.2565,0.7699
335.0,0.1605,0.9286
340.0,0.1468,1.0709
345.0,0.1315,1.2012
350.0,0.1144,1.3196
355.0,0.0982,1.4329
360.0,0.0873,1.5198
365.0,0.0764,1.6066
370.0,0.0669,1.6890
375.0,0.0596,1.7651
380.0,0.0522,1.8412
385.0,0.0500,1.9093
390.0,0.0500,1.9741
395.0,0.0500,2.0389
400.0,0.0500,2.1035
405.0,0.0500,2.1680
410.0,0.0500,2.2325
415.0,0.0490,2.2935
420.0,0.0461,2.3478
425.0,0.0432,2.4022
430.0,0.0403,2.4566
435.0,0.0400,2.5050
440.0,0.0400,2.5528
445.0,0.0400,2.6006
450.0,0.0400,2.6484
455.0,0.0420,2.6994
460.0,0.0444,2.7511
465.0,0.0469,2.8028
470.0,0.0493,2.8545
475.0,0.0500,2.9019
480.0,0.0500,2.9476
485.0,0.0500,2.9933
490.0,0.0500,3.0391
495.0,0.0500,3.0848
500.0,0.0500,3.1309
505.0,0.0500,3.1771
510.0,0.0500,3.2233
515.0,0.0500,3.2695
520.0,0.0500,3.3157
525.0,0.0515,3.3628
530.0,0.0533,3.4101
535.0,0.0551,3.4574
540.0,0.0569,3.5047
545.0,0.0587,3.5519
550.0,0.0596,3.5974
555.0,0.0581,3.6380
560.0,0.0566,3.6786
565.0,0.0551,3.7192
570.0,0.0536,3.7598
575.0,0.0521,3.8004
580.0,0.0506,3.8409
585.0,0.0508,3.8826
590.0,0.0523,3.9249
595.0,0.0537,3.9673
600.0,0.0552,4.0097
605.0,0.0566,4.0520
610.0,0.0580,4.0944
615.0,0.0595,4.1367
620.0,0.0593,4.1768
625.0,0.0581,4.2156
630.0,0.0569,4.2543
635.0,0.0557,4.2931
640.0,0.0546,4.3318
645.0,0.0534,4.3706
650.0,0.0522,4.4094
655.0,0.0511,4.4481
660.0,0.0499,4.4869
665.0,0.0488,4.5264
670.0,0.0477,4.5658
675.0,0.0466,4.6053
680.0,0.0454,4.6447
685.0,0.0443,4.6842
690.0,0.0432,4.7236
695.0,0.0421,4.7631
700.0,0.0410,4.8025
705.0,0.0399,4.8419
710.0,0.0389,4.8811
715.0,0.0380,4.9204
720.0,0.0370,4.9596
725.0,0.0360,4.9988
730.0,0.0350,5.0380
735.0,0.0341,5.0773
740.0,0.0331,5.1165
745.0,0.0321,5.1557
750.0,0.0312,5.1949
755.0,0.0302,5.2342
760.0,0.0306,5.2718
765.0,0.0314,5.3091
770.0,0.0322,5.3463
775.0,0.0329,5.3836
780.0,0.0337,5.4208
785.0,0.0345,5.4581
790.0,0.0352,5.4953
795.0,0.0360,5.5326
800.0,0.0368,5.5698
805.0,0.0375,5.6071
810.0,0.0383,5.6443
815.0,0.0391,5.6816
820.0,0.0398,5.7188
825.0,0.0400,5.7592
830.0,0.0400,5.8004
835.0,0.0400,5.8417
840.0,0.0400,5.8829
845.0,0.0400,5.9242
850.0,0.0400,5.9655
855.0,0.0400,6.0067
860.0,0.0400,6.0480
865.0,0.0400,6.0892
870.0,0.0400,6.1305
875.0,0.0400,6.1717
880.0,0.0400,6.2130
885.0,0.0400,6.2542
890.0,0.0400,6.2955
895.0,0.0400,6.3342
900.0,0.0400,6.3711
905.0,0.0400,6.4081
910.0,0.0400,6.4450
915.0,0.0400,6.4820
920.0,0.0400,6.5190
925.0,0.0400,6.5559
930.0,0.0400,6.5929
935.0,0.0400,6.6298
940.0,0.0400,6.6668
945.0,0.0400,6.7037
950.0,0.0400,6.7407
955.0,0.0400,6.7777
960.0,0.0400,6.8146
965.0,0.0400,6.8516
970.0,0.0400,6.8885
975.0,0.0400,6.9255
980.0,0.0400,6.9624
985.0,0.0400,6.9997
990.0,0.0400,7.0383
995.0,0.0400,7.0769
1000.0,0.0400,7.1155
1005.0,0.0400,7.1155
1010.0,0.0400,7.1155
1015.0,0.0400,7.1155
1020.0,0.0400,7.1155
1025.0,0.0400,7.1155
1030.0,0.0400,7.1155
1035.0,0.0400,7.1155
1040.0,0.0400,7.1155
1045.0,0.0400,7.1155
1050.0,0.0400,7.1155
1055.0,0.0400,7.1155
1060.0,0.0400,7.1155
1065.0,0.0400,7.1155
1070.0,0.0400,7.1155
1075.0,0.0400,7.1155
1080.0,0.0400,7.1155
1085.0,0.0400,7.1155
1090.0,0.0400,7.1155
1095.0,0.0400,7.1155
1100.0,0.0400,7.1155
