wavelength_nm,n,k
300.0,1.5258,1.8878
305.0,1.5300,1.8907
310.0,1.5300,1.8927
315.0,1.5344,1.8952
320.0,1.5396,1.8978
325.0,1.5151,1.8918
330.0,1.4881,1.8850
335.0,1.4800,1.8792
340.0,1.4800,1.8737
345.0,1.4843,1.8699
350.0,1.4928,1.8678
355.0,1.4988,1.8677
360.0,1.4915,1.8783
365.0,1.4842,1.8889
370.0,1.4769,1.9009
375.0,1.4696,1.9148
380.0,1.4622,1.9288
385.0,1.4622,1.9372
390.0,1.4653,1.9432
395.0,1.4685,1.9491
400.0,1.4684,1.9530
405.0,1.4652,1.9549
410.0,1.4621,1.9568
415.0,1.4590,1.9570
420.0,1.4561,1.9541
425.0,1.4532,1.9512
430.0,1.4503,1.9483
435.0,1.4346,1.9405
440.0,1.4174,1.9322
445.0,1.4002,1.9238
450.0,1.3831,1.9155
455.0,1.3660,1.9010
460.0,1.3489,1.8851
465.0,1.3319,1.8693
470.0,1.3148,1.8534
475.0,1.2703,1.8466
480.0,1.2152,1.8434
485.0,1.1601,1.8401
490.0,1.1050,1.8369
495.0,1.0499,1.8336
500.0,0.9711,1.8737
505.0,0.8871,1.9233
510.0,0.8031,1.9729
515.0,0.7191,2.0225
520.0,0.6351,2.0721
525.0,0.5919,2.1364
530.0,0.5576,2.2039
535.0,0.5233,2.2714
540.0,0.4890,2.3389
545.0,0.4547,2.4064
550.0,0.4241,2.4721
555.0,0.4033,2.5329
560.0,0.3824,2.5938
565.0,0.3615,2.6547
570.0,0.3406,2.7156
575.0,0.3197,2.7765
580.0,0.2988,2.8374
585.0,0.2833,2.8972
590.0,0.2718,2.9561
595.0,0.2603,3.0150
600.0,0.2487,3.0740
605.0,0.2372,3.1329
610.0,0.2257,3.1919
615.0,0.2141,3.2508
620.0,0.2048,3.3039
625.0,0.1966,3.3536
630.0,0.1884,3.4034
635.0,0.1802,3.4531
640.0,0.1720,3.5029
645.0,0.1638,3.5527
650.0,0.1556,3.6024
655.0,0.1474,3.6522
660.0,0.1399,3.7015
665.0,0.1388,3.7466
670.0,0.1377,3.7917
675.0,0.1366,3.8368
680.0,0.1354,3.8820
685.0,0.1343,3.9271
690.0,0.1332,3.9722
695.0,0.1321,4.0173
700.0,0.1310,4.0624
705.0,0.1301,4.1073
710.0,0.1311,4.1499
715.0,0.1320,4.1925
720.0,0.1330,4.2351
725.0,0.1340,4.2777
730.0,0.1350,4.3204
735.0,0.1359,4.3630
740.0,0.1369,4.4056
745.0,0.1379,4.4482
750.0,0.1388,4.4909
755.0,0.1398,4.5335
760.0,0.1412,4.5752
765.0,0.1428,4.6168
770.0,0.1443,4.6583
775.0,0.1458,4.6999
780.0,0.1474,4.7414
785.0,0.1489,4.7830
790.0,0.1504,4.8245
795.0,0.1520,4.8661
800.0,0.1535,4.9077
805.0,0.1551,4.9492
810.0,0.1566,4.9908
815.0,0.1581,5.0323
820.0,0.1597,5.0739
825.0,0.1606,5.1149
830.0,0.1613,5.1558
835.0,0.1620,5.1967
840.0,0.1627,5.2376
845.0,0.1634,5.2785
850.0,0.1641,5.3194
855.0,0.1648,5.3603
860.0,0.1655,5.4012
865.0,0.1662,5.4421
870.0,0.1669,5.4830
875.0,0.1676,5.5239
880.0,0.1683,5.5648
885.0,0.1690,5.6057
890.0,0.1697,5.6466
895.0,0.1716,5.6854
900.0,0.1743,5.7227
905.0,0.1771,5.7601
910.0,0.1798,5.7974
915.0,0.1825,5.8348
920.0,0.1852,5.8721
925.0,0.1879,5.9094
930.0,0.1907,5.9468
935.0,0.1934,5.9841
940.0,0.1961,6.0214
945.0,0.1988,6.0588
950.0,0.2015,6.0961
955.0,0.2042,6.1334
960.0,0.2070,6.1708
965.0,0.2097,6.2081
970.0,0.2124,6.2455
975.0,0.2151,6.2828
980.0,0.2178,6.3201
985.0,0.2205,6.3577
990.0,0.2229,6.3962
995.0,0.2253,6.4346
1000.0,0.2277,6.4731
1005.0,0.2277,6.4731
1010.0,0.2277,6.4731
1015.0,0.2277,6.4731
1020.0,0.2277,6.4731
1025.0,0.2277,6.4731
1030.0,0.2277,6.4731
1035.0,0.2277,6.4731
1040.0,0.2277,6.4731
1045.0,0.2277,6.4731
1050.0,0.2277,6.4731
1055.0,0.2277,6.4731
1060.0,0.2277,6.4731
1065.0,0.2277,6.4731
1070.0,0.2277,6.4731
1075.0,0.2277,6.4731
1080.0,0.2277,6.4731
1085.0,0.2277,6.4731
1090.0,0.2277,6.4731
1095.0,0.2277,6.4731
1100.0,0.2277,6.4731
