wavelength_nm,n,k
300.0,0.5878,1.7479
305.0,0.6566,1.8930
310.0,0.7422,2.0441
315.0,0.8491,2.2008
320.0,0.9832,2.3614
325.0,1.1518,2.5217
330.0,1.3635,2.6736
335.0,1.6258,2.8022
340.0,1.9409,2.8847
345.0,2.2976,2.8916
350.0,2.6639,2.7971
355.0,2.9907,2.5981
360.0,3.2335,2.3238
365.0,3.3758,2.0223
370.0,3.4300,1.7354
375.0,3.4218,1.4854
380.0,3.3753,1.2785
385.0,3.3082,1.1118
390.0,3.2315,0.9795
395.0,3.1516,0.8756
400.0,3.0720,0.7952
405.0,2.9944,0.7346
410.0,2.9197,0.6912
415.0,2.8486,0.6639
420.0,2.7820,0.6520
425.0,2.7217,0.6561
430.0,2.6708,0.6768
435.0,2.6345,0.7143
440.0,2.6209,0.7658
445.0,2.6383,0.8232
450.0,2.6913,0.8708
455.0,2.7731,0.8894
460.0,2.8639,0.8668
465.0,2.9404,0.8064
470.0,2.9887,0.7246
475.0,3.0081,0.6385
480.0,3.0055,0.5592
485.0,2.9888,0.4911
490.0,2.9646,0.4343
495.0,2.9369,0.3876
500.0,2.9081,0.3492
505.0,2.8798,0.3174
510.0,2.8524,0.2908
515.0,2.8265,0.2684
520.0,2.8021,0.2493
525.0,2.7792,0.2329
530.0,2.7578,0.2186
535.0,2.7377,0.2060
540.0,2.7189,0.1950
545.0,2.7012,0.1851
550.0,2.6846,0.1763
555.0,2.6690,0.1683
560.0,2.6543,0.1611
565.0,2.6405,0.1546
570.0,2.6274,0.1486
575.0,2.6150,0.1431
580.0,2.6032,0.1380
585.0,2.5921,0.1333
590.0,2.5815,0.1289
595.0,2.5714,0.1249
600.0,2.5618,0.1211
605.0,2.5526,0.1175
610.0,2.5439,0.1142
615.0,2.5355,0.1110
620.0,2.5275,0.1081
625.0,2.5198,0.1053
630.0,2.5125,0.1027
635.0,2.5054,0.1002
640.0,2.4987,0.0978
645.0,2.4922,0.0956
650.0,2.4859,0.0934
655.0,2.4799,0.0914
660.0,2.4741,0.0895
665.0,2.4685,0.0876
670.0,2.4631,0.0858
675.0,2.4579,0.0841
680.0,2.4529,0.0825
685.0,2.4480,0.0809
690.0,2.4433,0.0795
695.0,2.4388,0.0780
700.0,2.4344,0.0766
705.0,2.4302,0.0753
710.0,2.4261,0.0740
715.0,2.4221,0.0728
720.0,2.4182,0.0716
725.0,2.4145,0.0705
730.0,2.4108,0.0693
735.0,2.4073,0.0683
740.0,2.4039,0.0672
745.0,2.4006,0.0662
750.0,2.3973,0.0653
755.0,2.3942,0.0643
760.0,2.3911,0.0634
765.0,2.3882,0.0625
770.0,2.3853,0.0617
775.0,2.3824,0.0608
780.0,2.3797,0.0600
785.0,2.3770,0.0592
790.0,2.3744,0.0585
795.0,2.3719,0.0577
800.0,2.3694,0.0570
805.0,2.3670,0.0563
810.0,2.3647,0.0556
815.0,2.3624,0.0550
820.0,2.3601,0.0543
825.0,2.3580,0.0537
830.0,2.3558,0.0531
835.0,2.3537,0.0525
840.0,2.3517,0.0519
845.0,2.3497,0.0513
850.0,2.3478,0.0508
855.0,2.3459,0.0502
860.0,2.3440,0.0497
865.0,2.3422,0.0492
870.0,2.3404,0.0487
875.0,2.3387,0.0482
880.0,2.3370,0.0477
885.0,2.3353,0.0472
890.0,2.3337,0.0467
895.0,2.3321,0.0463
900.0,2.3306,0.0458
905.0,2.3290,0.0454
910.0,2.3275,0.0450
915.0,2.3261,0.0446
920.0,2.3246,0.0441
925.0,2.3232,0.0437
930.0,2.3219,0.0434
935.0,2.3205,0.0430
940.0,2.3192,0.0426
945.0,2.3179,0.0422
950.0,2.3166,0.0418
955.0,2.3154,0.0415
960.0,2.3141,0.0411
965.0,2.3129,0.0408
970.0,2.3118,0.0405
975.0,2.3106,0.0401
980.0,2.3095,0.0398
985.0,2.3083,0.0395
990.0,2.3072,0.0392
995.0,2.3062,0.0389
1000.0,2.3051,0.0386
