wavelength_nm,n,k
3.000000e+02,2.357265e+00,6.271511e-02
3.050000e+02,2.328497e+00,5.411224e-02
3.100000e+02,2.304158e+00,4.735876e-02
3.150000e+02,2.283310e+00,4.194891e-02
3.200000e+02,2.265259e+00,3.754019e-02
3.250000e+02,2.249481e+00,3.389373e-02
3.300000e+02,2.235576e+00,3.083867e-02
3.350000e+02,2.223230e+00,2.825004e-02
3.400000e+02,2.212198e+00,2.603466e-02
3.450000e+02,2.202280e+00,2.412184e-02
3.500000e+02,2.193317e+00,2.245712e-02
3.550000e+02,2.185178e+00,2.099798e-02
3.600000e+02,2.177753e+00,1.971079e-02
3.650000e+02,2.170953e+00,1.856865e-02
3.700000e+02,2.164701e+00,1.754983e-02
3.750000e+02,2.158935e+00,1.663662e-02
3.800000e+02,2.153598e+00,1.581445e-02
3.850000e+02,2.148645e+00,1.507123e-02
3.900000e+02,2.144035e+00,1.439688e-02
3.950000e+02,2.139732e+00,1.378290e-02
4.000000e+02,2.135708e+00,1.322213e-02
4.050000e+02,2.131934e+00,1.270845e-02
4.100000e+02,2.128388e+00,1.223664e-02
4.150000e+02,2.125050e+00,1.180220e-02
4.200000e+02,2.121900e+00,1.140124e-02
4.250000e+02,2.118923e+00,1.103040e-02
4.300000e+02,2.116105e+00,1.068673e-02
4.350000e+02,2.113431e+00,1.036765e-02
4.400000e+02,2.110892e+00,1.007092e-02
4.450000e+02,2.108477e+00,9.794521e-03
4.500000e+02,2.106175e+00,9.536704e-03
4.550000e+02,2.103979e+00,9.295900e-03
4.600000e+02,2.101882e+00,9.070714e-03
4.650000e+02,2.099875e+00,8.859902e-03
4.700000e+02,2.097953e+00,8.662351e-03
4.750000e+02,2.096109e+00,8.477059e-03
4.800000e+02,2.094340e+00,8.303128e-03
4.850000e+02,2.092639e+00,8.139746e-03
4.900000e+02,2.091002e+00,7.986178e-03
4.950000e+02,2.089426e+00,7.841761e-03
5.000000e+02,2.087906e+00,7.705891e-03
5.050000e+02,2.086439e+00,7.578018e-03
5.100000e+02,2.085022e+00,7.457644e-03
5.150000e+02,2.083651e+00,7.344311e-03
5.200000e+02,2.082325e+00,7.237601e-03
5.250000e+02,2.081040e+00,7.137131e-03
5.300000e+02,2.079794e+00,7.042552e-03
5.350000e+02,2.078585e+00,6.953539e-03
5.400000e+02,2.077411e+00,6.869796e-03
5.450000e+02,2.076270e+00,6.791049e-03
5.500000e+02,2.075161e+00,6.717045e-03
5.550000e+02,2.074080e+00,6.647552e-03
5.600000e+02,2.073028e+00,6.582353e-03
