wavelength_nm,n,k
300.0,1.7559,0.5215
305.0,1.8804,0.5907
310.0,2.0273,0.5939
315.0,2.1496,0.5338
320.0,2.2225,0.4442
325.0,2.2520,0.3567
330.0,2.2549,0.2845
335.0,2.2446,0.2289
340.0,2.2288,0.1870
345.0,2.2116,0.1554
350.0,2.1945,0.1312
355.0,2.1785,0.1125
360.0,2.1637,0.0978
365.0,2.1501,0.0861
370.0,2.1377,0.0766
375.0,2.1264,0.0688
380.0,2.1159,0.0624
385.0,2.1063,0.0570
390.0,2.0974,0.0525
395.0,2.0892,0.0486
400.0,2.0814,0.0453
405.0,2.0741,0.0424
410.0,2.0673,0.0399
415.0,2.0608,0.0377
420.0,2.0546,0.0358
425.0,2.0488,0.0342
430.0,2.0431,0.0327
435.0,2.0377,0.0314
440.0,2.0325,0.0302
445.0,2.0274,0.0292
450.0,2.0225,0.0283
455.0,2.0178,0.0275
460.0,2.0131,0.0268
465.0,2.0086,0.0261
470.0,2.0042,0.0256
475.0,1.9998,0.0251
480.0,1.9956,0.0246
485.0,1.9914,0.0242
490.0,1.9872,0.0239
495.0,1.9832,0.0236
500.0,1.9791,0.0234
505.0,1.9751,0.0231
510.0,1.9712,0.0230
515.0,1.9672,0.0228
520.0,1.9633,0.0227
525.0,1.9595,0.0226
530.0,1.9556,0.0226
535.0,1.9518,0.0225
540.0,1.9480,0.0225
545.0,1.9441,0.0225
550.0,1.9403,0.0226
555.0,1.9365,0.0226
560.0,1.9328,0.0227
565.0,1.9290,0.0228
570.0,1.9252,0.0229
575.0,1.9214,0.0230
580.0,1.9176,0.0232
585.0,1.9138,0.0234
590.0,1.9100,0.0235
595.0,1.9061,0.0237
600.0,1.9023,0.0239
605.0,1.8985,0.0242
610.0,1.8946,0.0244
615.0,1.8907,0.0247
620.0,1.8869,0.0249
625.0,1.8830,0.0252
630.0,1.8791,0.0255
635.0,1.8751,0.0258
640.0,1.8712,0.0262
645.0,1.8672,0.0265
650.0,1.8632,0.0269
655.0,1.8592,0.0272
660.0,1.8552,0.0276
665.0,1.8511,0.0280
670.0,1.8471,0.0284
675.0,1.8430,0.0288
680.0,1.8388,0.0292
685.0,1.8347,0.0297
690.0,1.8305,0.0301
695.0,1.8263,0.0306
700.0,1.8221,0.0311
705.0,1.8179,0.0316
710.0,1.8136,0.0321
715.0,1.8093,0.0326
720.0,1.8049,0.0331
725.0,1.8006,0.0337
730.0,1.7962,0.0342
735.0,1.7918,0.0348
740.0,1.7873,0.0354
745.0,1.7828,0.0360
750.0,1.7783,0.0366
755.0,1.7738,0.0372
760.0,1.7692,0.0379
765.0,1.7646,0.0385
770.0,1.7600,0.0392
775.0,1.7553,0.0399
780.0,1.7506,0.0406
785.0,1.7458,0.0413
790.0,1.7410,0.0420
795.0,1.7362,0.0428
800.0,1.7314,0.0435
805.0,1.7265,0.0443
810.0,1.7216,0.0451
815.0,1.7166,0.0459
820.0,1.7116,0.0467
825.0,1.7066,0.0475
830.0,1.7015,0.0484
835.0,1.6964,0.0492
840.0,1.6913,0.0501
845.0,1.6861,0.0510
850.0,1.6808,0.0519
855.0,1.6756,0.0529
860.0,1.6703,0.0538
865.0,1.6649,0.0548
870.0,1.6595,0.0558
875.0,1.6541,0.0568
880.0,1.6486,0.0578
885.0,1.6431,0.0589
890.0,1.6375,0.0599
895.0,1.6319,0.0610
900.0,1.6263,0.0621
905.0,1.6206,0.0633
910.0,1.6148,0.0644
915.0,1.6091,0.0656
920.0,1.6032,0.0668
925.0,1.5973,0.0680
930.0,1.5914,0.0692
935.0,1.5855,0.0705
940.0,1.5794,0.0717
945.0,1.5734,0.0731
950.0,1.5672,0.0744
955.0,1.5611,0.0757
960.0,1.5549,0.0771
965.0,1.5486,0.0785
970.0,1.5423,0.0799
975.0,1.5359,0.0814
980.0,1.5295,0.0829
985.0,1.5230,0.0844
990.0,1.5165,0.0859
995.0,1.5099,0.0875
1000.0,1.5033,0.0891
