wavelength_nm,n,k
3.000000e+02,2.621437e+00,5.722113e-01
3.025126e+02,2.628595e+00,5.731116e-01
3.050251e+02,2.635725e+00,5.739857e-01
3.075377e+02,2.642817e+00,5.748338e-01
3.100503e+02,2.649864e+00,5.756559e-01
3.125628e+02,2.656855e+00,5.764523e-01
3.150754e+02,2.663783e+00,5.772229e-01
3.175879e+02,2.670638e+00,5.779678e-01
3.201005e+02,2.677411e+00,5.786873e-01
3.226131e+02,2.684092e+00,5.793813e-01
3.251256e+02,2.690674e+00,5.800501e-01
3.276382e+02,2.697145e+00,5.806935e-01
3.301508e+02,2.703499e+00,5.813118e-01
3.326633e+02,2.709724e+00,5.819051e-01
3.351759e+02,2.715813e+00,5.824733e-01
3.376884e+02,2.721756e+00,5.830166e-01
3.402010e+02,2.727544e+00,5.835350e-01
3.427136e+02,2.733170e+00,5.840287e-01
3.452261e+02,2.738624e+00,5.844976e-01
3.477387e+02,2.743898e+00,5.849418e-01
3.502513e+02,2.748985e+00,5.853614e-01
3.527638e+02,2.753875e+00,5.857565e-01
3.552764e+02,2.758562e+00,5.861270e-01
3.577889e+02,2.763039e+00,5.864731e-01
3.603015e+02,2.767297e+00,5.867948e-01
3.628141e+02,2.771331e+00,5.870920e-01
3.653266e+02,2.775134e+00,5.873650e-01
3.678392e+02,2.778699e+00,5.876136e-01
3.703518e+02,2.782021e+00,5.878379e-01
3.728643e+02,2.785095e+00,5.880380e-01
3.753769e+02,2.787916e+00,5.882139e-01
3.778894e+02,2.790479e+00,5.883655e-01
3.804020e+02,2.792779e+00,5.884930e-01
3.829146e+02,2.794813e+00,5.885962e-01
3.854271e+02,2.796578e+00,5.886754e-01
3.879397e+02,2.798070e+00,5.887303e-01
3.904523e+02,2.799288e+00,5.887612e-01
3.929648e+02,2.800229e+00,5.887679e-01
3.954774e+02,2.800891e+00,5.887504e-01
3.979899e+02,2.801274e+00,5.887088e-01
4.005025e+02,2.801378e+00,5.886431e-01
4.030151e+02,2.801201e+00,5.885532e-01
4.055276e+02,2.800744e+00,5.884392e-01
4.080402e+02,2.800008e+00,5.883009e-01
4.105528e+02,2.798995e+00,5.881385e-01
4.130653e+02,2.797705e+00,5.879518e-01
4.155779e+02,2.796142e+00,5.877410e-01
4.180905e+02,2.794308e+00,5.875058e-01
4.206030e+02,2.792206e+00,5.872464e-01
4.231156e+02,2.789839e+00,5.869626e-01
4.256281e+02,2.787212e+00,5.866545e-01
4.281407e+02,2.784329e+00,5.863219e-01
4.306533e+02,2.781195e+00,5.859650e-01
4.331658e+02,2.777815e+00,5.855835e-01
4.356784e+02,2.774194e+00,5.851775e-01
4.381910e+02,2.770339e+00,5.847469e-01
4.407035e+02,2.766256e+00,5.842917e-01
4.432161e+02,2.761951e+00,5.838118e-01
4.457286e+02,2.757431e+00,5.833071e-01
4.482412e+02,2.752704e+00,5.827776e-01
4.507538e+02,2.747777e+00,5.822232e-01
4.532663e+02,2.742657e+00,5.816438e-01
4.557789e+02,2.737354e+00,5.810394e-01
4.582915e+02,2.731874e+00,5.804099e-01
4.608040e+02,2.726227e+00,5.797552e-01
4.633166e+02,2.720421e+00,5.790752e-01
4.658291e+02,2.714465e+00,5.783699e-01
4.683417e+02,2.708367e+00,5.776390e-01
4.708543e+02,2.702137e+00,5.768827e-01
4.733668e+02,2.695784e+00,5.761006e-01
4.758794e+02,2.689316e+00,5.752928e-01
4.783920e+02,2.682743e+00,5.744591e-01
4.809045e+02,2.676075e+00,5.735994e-01
4.834171e+02,2.669320e+00,5.727137e-01
4.859296e+02,2.662487e+00,5.718017e-01
4.884422e+02,2.655586e+00,5.708633e-01
4.909548e+02,2.648626e+00,5.698985e-01
4.934673e+02,2.641616e+00,5.689070e-01
4.959799e+02,2.634564e+00,5.678888e-01
4.984925e+02,2.627480e+00,5.668437e-01
5.010050e+02,2.620373e+00,5.657715e-01
5.035176e+02,2.613250e+00,5.646721e-01
5.060302e+02,2.606120e+00,5.635454e-01
5.085427e+02,2.598992e+00,5.623912e-01
5.110553e+02,2.591873e+00,5.612092e-01
5.135678e+02,2.584772e+00,5.599994e-01
5.160804e+02,2.577695e+00,5.587615e-01
5.185930e+02,2.570651e+00,5.574954e-01
5.211055e+02,2.563646e+00,5.562008e-01
5.236181e+02,2.556688e+00,5.548776e-01
5.261307e+02,2.549783e+00,5.535256e-01
5.286432e+02,2.542937e+00,5.521445e-01
5.311558e+02,2.536156e+00,5.507342e-01
5.336683e+02,2.529447e+00,5.492944e-01
5.361809e+02,2.522815e+00,5.478248e-01
5.386935e+02,2.516266e+00,5.463253e-01
5.412060e+02,2.509804e+00,5.447955e-01
5.437186e+02,2.503433e+00,5.432353e-01
5.462312e+02,2.497160e+00,5.416444e-01
5.487437e+02,2.490987e+00,5.400225e-01
5.512563e+02,2.484919e+00,5.383692e-01
5.537688e+02,2.478959e+00,5.366844e-01
5.562814e+02,2.473111e+00,5.349678e-01
5.587940e+02,2.467377e+00,5.332189e-01
5.613065e+02,2.461761e+00,5.314376e-01
5.638191e+02,2.456264e+00,5.296234e-01
5.663317e+02,2.450890e+00,5.277761e-01
5.688442e+02,2.445640e+00,5.258952e-01
