wavelength_nm,n,k
300.0,2.5500,0.3500
305.0,2.5550,0.3175
310.0,2.5600,0.2850
315.0,2.5650,0.2525
320.0,2.5700,0.2200
325.0,2.5675,0.2000
330.0,2.5650,0.1800
335.0,2.5625,0.1600
340.0,2.5600,0.1400
345.0,2.5550,0.1238
350.0,2.5500,0.1075
355.0,2.5450,0.0912
360.0,2.5400,0.0750
365.0,2.5325,0.0663
370.0,2.5250,0.0575
375.0,2.5175,0.0488
380.0,2.5100,0.0400
385.0,2.5025,0.0362
390.0,2.4950,0.0325
395.0,2.4875,0.0288
400.0,2.4800,0.0250
405.0,2.4740,0.0243
410.0,2.4680,0.0236
415.0,2.4620,0.0229
420.0,2.4560,0.0222
425.0,2.4500,0.0215
430.0,2.4440,0.0208
435.0,2.4380,0.0201
440.0,2.4320,0.0194
445.0,2.4260,0.0187
450.0,2.4200,0.0180
455.0,2.4160,0.0177
460.0,2.4120,0.0174
465.0,2.4080,0.0171
470.0,2.4040,0.0168
475.0,2.4000,0.0165
480.0,2.3960,0.0162
485.0,2.3920,0.0159
490.0,2.3880,0.0156
495.0,2.3840,0.0153
500.0,2.3800,0.0150
505.0,2.3770,0.0147
510.0,2.3740,0.0144
515.0,2.3710,0.0141
520.0,2.3680,0.0138
525.0,2.3650,0.0135
530.0,2.3620,0.0132
535.0,2.3590,0.0129
540.0,2.3560,0.0126
545.0,2.3530,0.0123
550.0,2.3500,0.0120
555.0,2.3470,0.0118
560.0,2.3440,0.0116
565.0,2.3410,0.0114
570.0,2.3380,0.0112
575.0,2.3350,0.0110
580.0,2.3320,0.0108
585.0,2.3290,0.0106
590.0,2.3260,0.0104
595.0,2.3230,0.0102
600.0,2.3200,0.0100
605.0,2.3170,0.0099
610.0,2.3140,0.0098
615.0,2.3110,0.0097
620.0,2.3080,0.0096
625.0,2.3050,0.0095
630.0,2.3020,0.0094
635.0,2.2990,0.0093
640.0,2.2960,0.0092
645.0,2.2930,0.0091
650.0,2.2900,0.0090
655.0,2.2870,0.0089
660.0,2.2840,0.0088
665.0,2.2810,0.0087
670.0,2.2780,0.0086
675.0,2.2750,0.0085
680.0,2.2720,0.0084
685.0,2.2690,0.0083
690.0,2.2660,0.0082
695.0,2.2630,0.0081
700.0,2.2600,0.0080
705.0,2.2580,0.0079
710.0,2.2560,0.0078
715.0,2.2540,0.0077
720.0,2.2520,0.0076
725.0,2.2500,0.0075
730.0,2.2480,0.0074
735.0,2.2460,0.0073
740.0,2.2440,0.0072
745.0,2.2420,0.0071
750.0,2.2400,0.0070
755.0,2.2380,0.0069
760.0,2.2360,0.0068
765.0,2.2340,0.0067
770.0,2.2320,0.0066
775.0,2.2300,0.0065
780.0,2.2280,0.0064
785.0,2.2260,0.0063
790.0,2.2240,0.0062
795.0,2.2220,0.0061
800.0,2.2200,0.0060
805.0,2.2190,0.0059
810.0,2.2180,0.0058
815.0,2.2170,0.0057
820.0,2.2160,0.0056
825.0,2.2150,0.0055
830.0,2.2140,0.0054
835.0,2.2130,0.0053
840.0,2.2120,0.0052
845.0,2.2110,0.0051
850.0,2.2100,0.0050
855.0,2.2080,0.0050
860.0,2.2060,0.0050
865.0,2.2040,0.0050
870.0,2.2020,0.0050
875.0,2.2000,0.0050
880.0,2.1980,0.0050
885.0,2.1960,0.0050
890.0,2.1940,0.0050
895.0,2.1920,0.0050
900.0,2.1900,0.0050
905.0,2.1890,0.0049
910.0,2.1880,0.0048
915.0,2.1870,0.0047
920.0,2.1860,0.0046
925.0,2.1850,0.0045
930.0,2.1840,0.0044
935.0,2.1830,0.0043
940.0,2.1820,0.0042
945.0,2.1810,0.0041
950.0,2.1800,0.0040
955.0,2.1790,0.0040
960.0,2.1780,0.0040
965.0,2.1770,0.0040
970.0,2.1760,0.0040
975.0,2.1750,0.0040
980.0,2.1740,0.0040
985.0,2.1730,0.0040
990.0,2.1720,0.0040
995.0,2.1710,0.0040
1000.0,2.1700,0.0040
