wavelength_nm,n,k
300.0,0.5329,1.4158
305.0,0.5797,1.5365
310.0,0.6373,1.6604
315.0,0.7077,1.7876
320.0,0.7937,1.9180
325.0,0.8990,2.0503
330.0,1.0277,2.1821
335.0,1.1847,2.3088
340.0,1.3746,2.4230
345.0,1.6002,2.5129
350.0,1.8594,2.5631
355.0,2.1414,2.5562
360.0,2.4244,2.4797
365.0,2.6796,2.3338
370.0,2.8812,2.1351
375.0,3.0165,1.9108
380.0,3.0889,1.6870
385.0,3.1108,1.4818
390.0,3.0974,1.3034
395.0,3.0613,1.1534
400.0,3.0120,1.0302
405.0,2.9558,0.9306
410.0,2.8967,0.8516
415.0,2.8374,0.7905
420.0,2.7797,0.7453
425.0,2.7250,0.7146
430.0,2.6749,0.6977
435.0,2.6315,0.6938
440.0,2.5976,0.7019
445.0,2.5770,0.7202
450.0,2.5736,0.7446
455.0,2.5901,0.7680
460.0,2.6255,0.7816
465.0,2.6734,0.7771
470.0,2.7234,0.7510
475.0,2.7653,0.7062
480.0,2.7929,0.6500
485.0,2.8053,0.5904
490.0,2.8047,0.5330
495.0,2.7949,0.4809
500.0,2.7790,0.4353
505.0,2.7597,0.3959
510.0,2.7386,0.3621
515.0,2.7170,0.3331
520.0,2.6956,0.3083
525.0,2.6747,0.2868
530.0,2.6546,0.2681
535.0,2.6355,0.2517
540.0,2.6172,0.2373
545.0,2.6000,0.2244
550.0,2.5836,0.2130
555.0,2.5681,0.2028
560.0,2.5534,0.1935
565.0,2.5395,0.1851
570.0,2.5264,0.1774
575.0,2.5139,0.1704
580.0,2.5020,0.1640
585.0,2.4907,0.1580
590.0,2.4800,0.1526
595.0,2.4698,0.1475
600.0,2.4601,0.1427
605.0,2.4508,0.1383
610.0,2.4419,0.1342
615.0,2.4334,0.1303
620.0,2.4253,0.1266
625.0,2.4175,0.1232
630.0,2.4101,0.1199
635.0,2.4029,0.1169
640.0,2.3960,0.1140
645.0,2.3894,0.1112
650.0,2.3831,0.1086
655.0,2.3770,0.1062
660.0,2.3711,0.1038
665.0,2.3655,0.1015
670.0,2.3600,0.0994
675.0,2.3547,0.0973
680.0,2.3496,0.0954
685.0,2.3447,0.0935
690.0,2.3400,0.0917
695.0,2.3354,0.0900
700.0,2.3310,0.0883
705.0,2.3267,0.0867
710.0,2.3225,0.0852
715.0,2.3185,0.0837
720.0,2.3146,0.0823
725.0,2.3108,0.0809
730.0,2.3071,0.0796
735.0,2.3036,0.0783
740.0,2.3001,0.0771
745.0,2.2967,0.0759
750.0,2.2935,0.0747
755.0,2.2903,0.0736
760.0,2.2872,0.0726
765.0,2.2842,0.0715
770.0,2.2813,0.0705
775.0,2.2785,0.0695
780.0,2.2757,0.0686
785.0,2.2730,0.0676
790.0,2.2704,0.0667
795.0,2.2678,0.0659
800.0,2.2653,0.0650
805.0,2.2629,0.0642
810.0,2.2606,0.0634
815.0,2.2582,0.0626
820.0,2.2560,0.0618
825.0,2.2538,0.0611
830.0,2.2517,0.0604
835.0,2.2496,0.0597
840.0,2.2475,0.0590
845.0,2.2455,0.0583
850.0,2.2436,0.0577
855.0,2.2417,0.0570
860.0,2.2398,0.0564
865.0,2.2380,0.0558
870.0,2.2362,0.0552
875.0,2.2344,0.0546
880.0,2.2327,0.0541
885.0,2.2311,0.0535
890.0,2.2294,0.0530
895.0,2.2278,0.0524
900.0,2.2263,0.0519
905.0,2.2247,0.0514
910.0,2.2232,0.0509
915.0,2.2218,0.0504
920.0,2.2203,0.0500
925.0,2.2189,0.0495
930.0,2.2175,0.0490
935.0,2.2162,0.0486
940.0,2.2149,0.0482
945.0,2.2136,0.0477
950.0,2.2123,0.0473
955.0,2.2110,0.0469
960.0,2.2098,0.0465
965.0,2.2086,0.0461
970.0,2.2074,0.0457
975.0,2.2062,0.0453
980.0,2.2051,0.0449
985.0,2.2040,0.0446
990.0,2.2029,0.0442
995.0,2.2018,0.0438
1000.0,2.2008,0.0435
