wavelength_nm,n,k
300.0,1.3889,0.5305
305.0,1.4549,0.5410
310.0,1.5196,0.5355
315.0,1.5782,0.5160
320.0,1.6270,0.4862
325.0,1.6647,0.4505
330.0,1.6917,0.4127
335.0,1.7095,0.3756
340.0,1.7200,0.3409
345.0,1.7249,0.3094
350.0,1.7258,0.2815
355.0,1.7238,0.2570
360.0,1.7200,0.2357
365.0,1.7149,0.2172
370.0,1.7091,0.2011
375.0,1.7028,0.1873
380.0,1.6963,0.1753
385.0,1.6898,0.1650
390.0,1.6833,0.1560
395.0,1.6769,0.1483
400.0,1.6707,0.1416
405.0,1.6647,0.1358
410.0,1.6589,0.1309
415.0,1.6533,0.1267
420.0,1.6479,0.1231
425.0,1.6428,0.1202
430.0,1.6379,0.1177
435.0,1.6332,0.1157
440.0,1.6287,0.1142
445.0,1.6244,0.1130
450.0,1.6204,0.1122
455.0,1.6165,0.1118
460.0,1.6129,0.1117
465.0,1.6094,0.1118
470.0,1.6062,0.1123
475.0,1.6032,0.1130
480.0,1.6004,0.1140
485.0,1.5978,0.1152
490.0,1.5955,0.1166
495.0,1.5933,0.1182
500.0,1.5914,0.1199
505.0,1.5898,0.1219
510.0,1.5884,0.1240
515.0,1.5872,0.1262
520.0,1.5864,0.1286
525.0,1.5857,0.1310
530.0,1.5854,0.1336
535.0,1.5853,0.1362
540.0,1.5855,0.1388
545.0,1.5860,0.1414
550.0,1.5867,0.1441
555.0,1.5878,0.1467
560.0,1.5891,0.1492
565.0,1.5906,0.1517
570.0,1.5924,0.1540
575.0,1.5944,0.1562
580.0,1.5967,0.1583
585.0,1.5992,0.1602
590.0,1.6018,0.1620
595.0,1.6046,0.1635
600.0,1.6075,0.1649
605.0,1.6106,0.1660
610.0,1.6138,0.1669
615.0,1.6170,0.1675
620.0,1.6203,0.1680
625.0,1.6236,0.1682
630.0,1.6269,0.1682
635.0,1.6302,0.1680
640.0,1.6334,0.1675
645.0,1.6367,0.1669
650.0,1.6398,0.1661
655.0,1.6428,0.1651
660.0,1.6458,0.1639
665.0,1.6487,0.1626
670.0,1.6514,0.1612
675.0,1.6540,0.1596
680.0,1.6565,0.1579
685.0,1.6589,0.1562
690.0,1.6612,0.1543
695.0,1.6633,0.1524
700.0,1.6653,0.1504
705.0,1.6671,0.1484
710.0,1.6689,0.1464
715.0,1.6705,0.1443
720.0,1.6720,0.1422
725.0,1.6733,0.1401
730.0,1.6746,0.1380
735.0,1.6758,0.1359
740.0,1.6768,0.1338
745.0,1.6778,0.1317
750.0,1.6787,0.1296
755.0,1.6794,0.1276
760.0,1.6801,0.1255
765.0,1.6808,0.1236
770.0,1.6813,0.1216
775.0,1.6818,0.1197
780.0,1.6822,0.1178
785.0,1.6825,0.1159
790.0,1.6828,0.1141
795.0,1.6831,0.1123
800.0,1.6833,0.1105
805.0,1.6834,0.1088
810.0,1.6835,0.1072
815.0,1.6836,0.1055
820.0,1.6836,0.1039
825.0,1.6836,0.1024
830.0,1.6835,0.1009
835.0,1.6835,0.0994
840.0,1.6834,0.0979
845.0,1.6832,0.0965
850.0,1.6831,0.0951
855.0,1.6829,0.0938
860.0,1.6827,0.0925
865.0,1.6825,0.0912
870.0,1.6822,0.0900
875.0,1.6820,0.0887
880.0,1.6817,0.0876
885.0,1.6814,0.0864
890.0,1.6812,0.0853
895.0,1.6809,0.0842
900.0,1.6805,0.0831
905.0,1.6802,0.0821
910.0,1.6799,0.0811
915.0,1.6795,0.0801
920.0,1.6792,0.0791
925.0,1.6788,0.0782
930.0,1.6785,0.0773
935.0,1.6781,0.0764
940.0,1.6777,0.0755
945.0,1.6774,0.0747
950.0,1.6770,0.0739
955.0,1.6766,0.0731
960.0,1.6762,0.0723
965.0,1.6758,0.0715
970.0,1.6754,0.0708
975.0,1.6751,0.0701
980.0,1.6747,0.0693
985.0,1.6743,0.0687
990.0,1.6739,0.0680
995.0,1.6735,0.0673
1000.0,1.6731,0.0667
1005.0,1.6731,0.0667
1010.0,1.6731,0.0667
1015.0,1.6731,0.0667
1020.0,1.6731,0.0667
1025.0,1.6731,0.0667
1030.0,1.6731,0.0667
1035.0,1.6731,0.0667
1040.0,1.6731,0.0667
1045.0,1.6731,0.0667
1050.0,1.6731,0.0667
1055.0,1.6731,0.0667
1060.0,1.6731,0.0667
1065.0,1.6731,0.0667
1070.0,1.6731,0.0667
1075.0,1.6731,0.0667
1080.0,1.6731,0.0667
1085.0,1.6731,0.0667
1090.0,1.6731,0.0667
1095.0,1.6731,0.0667
1100.0,1.6731,0.0667
