wavelength_nm,n,k
300.0,2.3748,0.4773
305.0,2.3560,0.3434
310.0,2.3196,0.2544
315.0,2.2818,0.1949
320.0,2.2477,0.1541
325.0,2.2181,0.1251
330.0,2.1929,0.1039
335.0,2.1712,0.0879
340.0,2.1526,0.0756
345.0,2.1366,0.0659
350.0,2.1226,0.0582
355.0,2.1103,0.0519
360.0,2.0995,0.0466
365.0,2.0898,0.0423
370.0,2.0812,0.0386
375.0,2.0734,0.0354
380.0,2.0664,0.0327
385.0,2.0600,0.0303
390.0,2.0542,0.0283
395.0,2.0489,0.0265
400.0,2.0440,0.0248
405.0,2.0395,0.0234
410.0,2.0353,0.0221
415.0,2.0314,0.0210
420.0,2.0277,0.0200
425.0,2.0243,0.0190
430.0,2.0211,0.0182
435.0,2.0182,0.0174
440.0,2.0153,0.0167
445.0,2.0127,0.0160
450.0,2.0102,0.0154
455.0,2.0078,0.0149
460.0,2.0055,0.0144
465.0,2.0033,0.0139
470.0,2.0013,0.0135
475.0,1.9993,0.0131
480.0,1.9975,0.0127
485.0,1.9957,0.0123
490.0,1.9939,0.0120
495.0,1.9923,0.0117
500.0,1.9907,0.0114
505.0,1.9891,0.0111
510.0,1.9877,0.0109
515.0,1.9862,0.0107
520.0,1.9849,0.0104
525.0,1.9835,0.0102
530.0,1.9822,0.0100
535.0,1.9810,0.0098
540.0,1.9797,0.0097
545.0,1.9785,0.0095
550.0,1.9774,0.0094
555.0,1.9763,0.0092
560.0,1.9752,0.0091
565.0,1.9741,0.0090
570.0,1.9730,0.0088
575.0,1.9720,0.0087
580.0,1.9710,0.0086
585.0,1.9700,0.0085
590.0,1.9690,0.0084
595.0,1.9681,0.0083
600.0,1.9672,0.0082
605.0,1.9663,0.0082
610.0,1.9654,0.0081
615.0,1.9645,0.0080
620.0,1.9636,0.0080
625.0,1.9628,0.0079
630.0,1.9619,0.0079
635.0,1.9611,0.0078
640.0,1.9603,0.0078
645.0,1.9595,0.0077
650.0,1.9587,0.0077
655.0,1.9579,0.0076
660.0,1.9571,0.0076
665.0,1.9563,0.0076
670.0,1.9555,0.0075
675.0,1.9548,0.0075
680.0,1.9540,0.0075
685.0,1.9533,0.0075
690.0,1.9525,0.0075
695.0,1.9518,0.0075
700.0,1.9511,0.0074
705.0,1.9504,0.0074
710.0,1.9496,0.0074
715.0,1.9489,0.0074
720.0,1.9482,0.0074
725.0,1.9475,0.0074
730.0,1.9468,0.0074
735.0,1.9461,0.0074
740.0,1.9454,0.0075
745.0,1.9447,0.0075
750.0,1.9441,0.0075
755.0,1.9434,0.0075
760.0,1.9427,0.0075
765.0,1.9420,0.0075
770.0,1.9413,0.0075
775.0,1.9407,0.0076
780.0,1.9400,0.0076
785.0,1.9393,0.0076
790.0,1.9387,0.0076
795.0,1.9380,0.0077
800.0,1.9373,0.0077
805.0,1.9367,0.0077
810.0,1.9360,0.0078
815.0,1.9353,0.0078
820.0,1.9347,0.0078
825.0,1.9340,0.0079
830.0,1.9333,0.0079
835.0,1.9327,0.0080
840.0,1.9320,0.0080
845.0,1.9314,0.0081
850.0,1.9307,0.0081
855.0,1.9301,0.0082
860.0,1.9294,0.0082
865.0,1.9287,0.0083
870.0,1.9281,0.0083
875.0,1.9274,0.0084
880.0,1.9268,0.0084
885.0,1.9261,0.0085
890.0,1.9254,0.0085
895.0,1.9248,0.0086
900.0,1.9241,0.0087
905.0,1.9234,0.0087
910.0,1.9228,0.0088
915.0,1.9221,0.0089
920.0,1.9215,0.0089
925.0,1.9208,0.0090
930.0,1.9201,0.0091
935.0,1.9195,0.0091
940.0,1.9188,0.0092
945.0,1.9181,0.0093
950.0,1.9175,0.0094
955.0,1.9168,0.0095
960.0,1.9161,0.0095
965.0,1.9154,0.0096
970.0,1.9148,0.0097
975.0,1.9141,0.0098
980.0,1.9134,0.0099
985.0,1.9127,0.0100
990.0,1.9120,0.0100
995.0,1.9114,0.0101
1000.0,1.9107,0.0102
1005.0,1.9107,0.0102
1010.0,1.9107,0.0102
1015.0,1.9107,0.0102
1020.0,1.9107,0.0102
1025.0,1.9107,0.0102
1030.0,1.9107,0.0102
1035.0,1.9107,0.0102
1040.0,1.9107,0.0102
1045.0,1.9107,0.0102
1050.0,1.9107,0.0102
1055.0,1.9107,0.0102
1060.0,1.9107,0.0102
1065.0,1.9107,0.0102
1070.0,1.9107,0.0102
1075.0,1.9107,0.0102
1080.0,1.9107,0.0102
1085.0,1.9107,0.0102
1090.0,1.9107,0.0102
1095.0,1.9107,0.0102
1100.0,1.9107,0.0102
