wavelength_nm,n,k
300.0,2.6214,0.5722
305.0,2.6214,0.5722
310.0,2.6214,0.5722
315.0,2.6214,0.5722
320.0,2.6214,0.5722
325.0,2.6214,0.5722
330.0,2.6214,0.5722
335.0,2.6214,0.5722
340.0,2.6214,0.5722
345.0,2.6214,0.5722
350.0,2.6214,0.5722
355.0,2.6214,0.5722
360.0,2.6214,0.5722
365.0,2.6214,0.5722
370.0,2.6214,0.5722
375.0,2.6214,0.5722
380.0,2.6214,0.5722
385.0,2.6214,0.5722
390.0,2.6214,0.5722
395.0,2.6214,0.5722
400.0,2.6214,0.5722
405.0,2.6214,0.5722
410.0,2.6214,0.5722
415.0,2.6214,0.5722
420.0,2.6214,0.5722
425.0,2.6214,0.5722
430.0,2.6214,0.5722
435.0,2.6214,0.5722
440.0,2.6214,0.5722
445.0,2.6214,0.5722
450.0,2.6214,0.5722
455.0,2.6214,0.5722
460.0,2.6214,0.5722
465.0,2.6214,0.5722
470.0,2.6214,0.5722
475.0,2.6214,0.5722
480.0,2.6214,0.5722
485.0,2.6214,0.5722
490.0,2.6214,0.5722
495.0,2.6214,0.5722
500.0,2.6214,0.5722
505.0,2.6214,0.5722
510.0,2.6214,0.5722
515.0,2.6214,0.5722
520.0,2.6317,0.5735
525.0,2.6458,0.5752
530.0,2.6597,0.5768
535.0,2.6733,0.5783
540.0,2.6866,0.5796
545.0,2.6995,0.5809
550.0,2.7120,0.5821
555.0,2.7238,0.5832
560.0,2.7350,0.5842
565.0,2.7456,0.5851
570.0,2.7554,0.5859
575.0,2.7643,0.5866
580.0,2.7724,0.5872
585.0,2.7796,0.5877
590.0,2.7859,0.5881
595.0,2.7910,0.5884
600.0,2.7952,0.5886
605.0,2.7983,0.5888
610.0,2.8003,0.5888
615.0,2.8012,0.5887
620.0,2.8010,0.5886
625.0,2.7996,0.5883
630.0,2.7973,0.5879
635.0,2.7938,0.5874
640.0,2.7892,0.5869
645.0,2.7836,0.5863
650.0,2.7771,0.5855
655.0,2.7696,0.5847
660.0,2.7611,0.5838
665.0,2.7519,0.5827
670.0,2.7419,0.5815
675.0,2.7311,0.5803
680.0,2.7196,0.5790
685.0,2.7077,0.5775
690.0,2.6951,0.5760
695.0,2.6822,0.5744
700.0,2.6688,0.5726
705.0,2.6551,0.5708
710.0,2.6412,0.5689
715.0,2.6271,0.5668
720.0,2.6130,0.5646
725.0,2.5988,0.5623
730.0,2.5847,0.5600
735.0,2.5706,0.5575
740.0,2.5567,0.5549
745.0,2.5431,0.5522
750.0,2.5296,0.5493
755.0,2.5165,0.5463
760.0,2.5037,0.5433
765.0,2.4914,0.5401
770.0,2.4794,0.5367
775.0,2.4679,0.5333
780.0,2.4568,0.5298
785.0,2.4462,0.5261
790.0,2.4361,0.5222
795.0,2.4265,0.5182
800.0,2.4175,0.5141
805.0,2.4089,0.5099
810.0,2.4009,0.5055
815.0,2.3934,0.5009
820.0,2.3864,0.4962
825.0,2.3799,0.4914
830.0,2.3739,0.4863
835.0,2.3685,0.4811
840.0,2.3635,0.4757
845.0,2.3590,0.4702
850.0,2.3550,0.4644
855.0,2.3514,0.4585
860.0,2.3483,0.4523
865.0,2.3456,0.4459
870.0,2.3435,0.4393
875.0,2.3417,0.4325
880.0,2.3405,0.4255
885.0,2.3398,0.4182
890.0,2.3395,0.4106
895.0,2.3399,0.4028
900.0,2.3408,0.3946
905.0,2.3425,0.3862
910.0,2.3449,0.3773
915.0,2.3482,0.3682
920.0,2.3526,0.3586
925.0,2.3583,0.3486
930.0,2.3656,0.3382
935.0,2.3746,0.3272
940.0,2.3860,0.3157
945.0,2.3999,0.3035
950.0,2.4166,0.2907
955.0,2.4359,0.2771
960.0,2.4566,0.2625
965.0,2.4766,0.2469
970.0,2.4923,0.2299
975.0,2.5001,0.2113
980.0,2.4975,0.1906
985.0,2.4852,0.1670
990.0,2.4666,0.1390
995.0,2.4453,0.1026
1000.0,2.4244,0.0464
