wavelength_nm,n,k
300.0,2.7000,1.1532
305.0,2.6992,1.1290
310.0,2.6970,1.1032
315.0,2.6933,1.0756
320.0,2.6882,1.0461
325.0,2.6818,1.0144
330.0,2.6742,0.9804
335.0,2.6654,0.9439
340.0,2.6556,0.9045
345.0,2.6450,0.8618
350.0,2.6336,0.8154
355.0,2.6217,0.7645
360.0,2.6093,0.7081
365.0,2.5966,0.6449
370.0,2.5838,0.5726
375.0,2.5709,0.4870
380.0,2.5582,0.3793
385.0,2.5457,0.2177
390.0,2.5335,0.0000
395.0,2.5217,0.0000
400.0,2.5104,0.0000
405.0,2.4996,0.0000
410.0,2.4895,0.0000
415.0,2.4800,0.0000
420.0,2.4711,0.0000
425.0,2.4629,0.0000
430.0,2.4554,0.0000
435.0,2.4485,0.0000
440.0,2.4423,0.0000
445.0,2.4367,0.0000
450.0,2.4316,0.0000
455.0,2.4272,0.0000
460.0,2.4232,0.0000
465.0,2.4197,0.0000
470.0,2.4167,0.0000
475.0,2.4140,0.0000
480.0,2.4118,0.0000
485.0,2.4098,0.0000
490.0,2.4081,0.0000
495.0,2.4067,0.0000
500.0,2.4055,0.0000
505.0,2.4045,0.0000
510.0,2.4037,0.0000
515.0,2.4030,0.0000
520.0,2.4024,0.0000
525.0,2.4019,0.0000
530.0,2.4015,0.0000
535.0,2.4012,0.0000
540.0,2.4009,0.0000
545.0,2.4007,0.0000
550.0,2.4006,0.0000
555.0,2.4005,0.0000
560.0,2.4003,0.0000
565.0,2.4003,0.0000
570.0,2.4002,0.0000
575.0,2.4002,0.0000
580.0,2.4001,0.0000
585.0,2.4001,0.0000
590.0,2.4001,0.0000
595.0,2.4001,0.0000
600.0,2.4000,0.0000
605.0,2.4000,0.0000
610.0,2.4000,0.0000
615.0,2.4000,0.0000
620.0,2.4000,0.0000
625.0,2.4000,0.0000
630.0,2.4000,0.0001
635.0,2.4000,0.0001
640.0,2.4000,0.0001
645.0,2.4000,0.0001
650.0,2.4000,0.0001
655.0,2.4000,0.0001
660.0,2.4000,0.0001
665.0,2.4000,0.0001
670.0,2.4000,0.0001
675.0,2.4000,0.0001
680.0,2.4000,0.0001
685.0,2.4000,0.0001
690.0,2.4000,0.0001
695.0,2.4000,0.0001
700.0,2.4000,0.0001
705.0,2.4000,0.0001
710.0,2.4000,0.0001
715.0,2.4000,0.0001
720.0,2.4000,0.0001
725.0,2.4000,0.0001
730.0,2.4000,0.0001
735.0,2.4000,0.0001
740.0,2.4000,0.0001
745.0,2.4000,0.0001
750.0,2.4000,0.0001
755.0,2.4000,0.0001
760.0,2.4000,0.0001
765.0,2.4000,0.0001
770.0,2.4000,0.0001
775.0,2.4000,0.0001
780.0,2.4000,0.0001
785.0,2.4000,0.0001
790.0,2.4000,0.0001
795.0,2.4000,0.0001
800.0,2.4000,0.0001
805.0,2.4000,0.0001
810.0,2.4000,0.0001
815.0,2.4000,0.0001
820.0,2.4000,0.0001
825.0,2.4000,0.0001
830.0,2.4000,0.0001
835.0,2.4000,0.0001
840.0,2.4000,0.0001
845.0,2.4000,0.0001
850.0,2.4000,0.0001
855.0,2.4000,0.0001
860.0,2.4000,0.0001
865.0,2.4000,0.0001
870.0,2.4000,0.0001
875.0,2.4000,0.0001
880.0,2.4000,0.0001
885.0,2.4000,0.0001
890.0,2.4000,0.0001
895.0,2.4000,0.0001
900.0,2.4000,0.0001
905.0,2.4000,0.0001
910.0,2.4000,0.0001
915.0,2.4000,0.0001
920.0,2.4000,0.0001
925.0,2.4000,0.0001
930.0,2.4000,0.0001
935.0,2.4000,0.0001
940.0,2.4000,0.0001
945.0,2.4000,0.0001
950.0,2.4000,0.0001
955.0,2.4000,0.0001
960.0,2.4000,0.0001
965.0,2.4000,0.0001
970.0,2.4000,0.0001
975.0,2.4000,0.0001
980.0,2.4000,0.0001
985.0,2.4000,0.0001
990.0,2.4000,0.0001
995.0,2.4000,0.0001
1000.0,2.4000,0.0001
1005.0,2.4000,0.0001
1010.0,2.4000,0.0001
1015.0,2.4000,0.0001
1020.0,2.4000,0.0001
1025.0,2.4000,0.0001
1030.0,2.4000,0.0001
1035.0,2.4000,0.0001
1040.0,2.4000,0.0001
1045.0,2.4000,0.0001
1050.0,2.4000,0.0001
1055.0,2.4000,0.0001
1060.0,2.4000,0.0001
1065.0,2.4000,0.0001
1070.0,2.4000,0.0001
1075.0,2.4000,0.0001
1080.0,2.4000,0.0001
1085.0,2.4000,0.0001
1090.0,2.4000,0.0001
1095.0,2.4000,0.0001
1100.0,2.4000,0.0001
