wavelength_nm,n,k
300.0,1.5528,0.0000
305.0,1.5510,0.0000
310.0,1.5494,0.0000
315.0,1.5479,0.0000
320.0,1.5464,0.0000
325.0,1.5451,0.0000
330.0,1.5438,0.0000
335.0,1.5425,0.0000
340.0,1.5413,0.0000
345.0,1.5402,0.0000
350.0,1.5392,0.0000
355.0,1.5382,0.0000
360.0,1.5372,0.0000
365.0,1.5363,0.0000
370.0,1.5354,0.0000
375.0,1.5345,0.0000
380.0,1.5337,0.0000
385.0,1.5330,0.0000
390.0,1.5322,0.0000
395.0,1.5315,0.0000
400.0,1.5308,0.0000
405.0,1.5302,0.0000
410.0,1.5296,0.0000
415.0,1.5290,0.0000
420.0,1.5284,0.0000
425.0,1.5278,0.0000
430.0,1.5273,0.0000
435.0,1.5268,0.0000
440.0,1.5263,0.0000
445.0,1.5258,0.0000
450.0,1.5253,0.0000
455.0,1.5249,0.0000
460.0,1.5244,0.0000
465.0,1.5240,0.0000
470.0,1.5236,0.0000
475.0,1.5232,0.0000
480.0,1.5228,0.0000
485.0,1.5225,0.0000
490.0,1.5221,0.0000
495.0,1.5218,0.0000
500.0,1.5214,0.0000
505.0,1.5211,0.0000
510.0,1.5208,0.0000
515.0,1.5205,0.0000
520.0,1.5202,0.0000
525.0,1.5199,0.0000
530.0,1.5196,0.0000
535.0,1.5193,0.0000
540.0,1.5190,0.0000
545.0,1.5188,0.0000
550.0,1.5185,0.0000
555.0,1.5183,0.0000
560.0,1.5180,0.0000
565.0,1.5178,0.0000
570.0,1.5176,0.0000
575.0,1.5173,0.0000
580.0,1.5171,0.0000
585.0,1.5169,0.0000
590.0,1.5167,0.0000
595.0,1.5165,0.0000
600.0,1.5163,0.0000
605.0,1.5161,0.0000
610.0,1.5159,0.0000
615.0,1.5157,0.0000
620.0,1.5155,0.0000
625.0,1.5154,0.0000
630.0,1.5152,0.0000
635.0,1.5150,0.0000
640.0,1.5148,0.0000
645.0,1.5147,0.0000
650.0,1.5145,0.0000
655.0,1.5144,0.0000
660.0,1.5142,0.0000
665.0,1.5141,0.0000
670.0,1.5139,0.0000
675.0,1.5138,0.0000
680.0,1.5136,0.0000
685.0,1.5135,0.0000
690.0,1.5133,0.0000
695.0,1.5132,0.0000
700.0,1.5131,0.0000
705.0,1.5129,0.0000
710.0,1.5128,0.0000
715.0,1.5127,0.0000
720.0,1.5125,0.0000
725.0,1.5124,0.0000
730.0,1.5123,0.0000
735.0,1.5122,0.0000
740.0,1.5121,0.0000
745.0,1.5120,0.0000
750.0,1.5118,0.0000
755.0,1.5117,0.0000
760.0,1.5116,0.0000
765.0,1.5115,0.0000
770.0,1.5114,0.0000
775.0,1.5113,0.0000
780.0,1.5112,0.0000
785.0,1.5111,0.0000
790.0,1.5110,0.0000
795.0,1.5109,0.0000
800.0,1.5108,0.0000
805.0,1.5107,0.0000
810.0,1.5106,0.0000
815.0,1.5105,0.0000
820.0,1.5104,0.0000
825.0,1.5103,0.0000
830.0,1.5102,0.0000
835.0,1.5101,0.0000
840.0,1.5100,0.0000
845.0,1.5099,0.0000
850.0,1.5098,0.0000
855.0,1.5098,0.0000
860.0,1.5097,0.0000
865.0,1.5096,0.0000
870.0,1.5095,0.0000
875.0,1.5094,0.0000
880.0,1.5093,0.0000
885.0,1.5092,0.0000
890.0,1.5092,0.0000
895.0,1.5091,0.0000
900.0,1.5090,0.0000
905.0,1.5089,0.0000
910.0,1.5088,0.0000
915.0,1.5088,0.0000
920.0,1.5087,0.0000
925.0,1.5086,0.0000
930.0,1.5085,0.0000
935.0,1.5084,0.0000
940.0,1.5084,0.0000
945.0,1.5083,0.0000
950.0,1.5082,0.0000
955.0,1.5081,0.0000
960.0,1.5081,0.0000
965.0,1.5080,0.0000
970.0,1.5079,0.0000
975.0,1.5079,0.0000
980.0,1.5078,0.0000
985.0,1.5077,0.0000
990.0,1.5076,0.0000
995.0,1.5076,0.0000
1000.0,1.5075,0.0000
