wavelength_nm,n,k
3.000000e+02,1.617663e+00,5.083001e-01
3.025126e+02,1.620303e+00,5.047346e-01
3.050251e+02,1.622902e+00,5.010479e-01
3.075377e+02,1.625448e+00,4.972374e-01
3.100503e+02,1.627929e+00,4.933003e-01
3.125628e+02,1.630333e+00,4.892335e-01
3.150754e+02,1.632648e+00,4.850336e-01
3.175879e+02,1.634862e+00,4.806973e-01
3.201005e+02,1.636963e+00,4.762208e-01
3.226131e+02,1.638941e+00,4.716001e-01
3.251256e+02,1.640785e+00,4.668309e-01
3.276382e+02,1.642484e+00,4.619087e-01
3.301508e+02,1.644030e+00,4.568284e-01
3.326633e+02,1.645412e+00,4.515848e-01
3.351759e+02,1.646625e+00,4.461720e-01
3.376884e+02,1.647659e+00,4.405839e-01
3.402010e+02,1.648511e+00,4.348137e-01
3.427136e+02,1.649174e+00,4.288541e-01
3.452261e+02,1.649645e+00,4.226969e-01
3.477387e+02,1.649920e+00,4.163336e-01
3.502513e+02,1.649999e+00,4.097544e-01
3.527638e+02,1.649881e+00,4.029488e-01
3.552764e+02,1.649566e+00,3.959050e-01
3.577889e+02,1.649057e+00,3.886103e-01
3.603015e+02,1.648356e+00,3.810501e-01
3.628141e+02,1.647467e+00,3.732083e-01
3.653266e+02,1.646396e+00,3.650668e-01
3.678392e+02,1.645149e+00,3.566050e-01
3.703518e+02,1.643733e+00,3.477996e-01
3.728643e+02,1.642156e+00,3.386238e-01
3.753769e+02,1.640427e+00,3.290465e-01
3.778894e+02,1.638556e+00,3.190317e-01
3.804020e+02,1.636552e+00,3.085366e-01
3.829146e+02,1.634428e+00,2.975106e-01
3.854271e+02,1.632192e+00,2.858922e-01
3.879397e+02,1.629859e+00,2.736058e-01
3.904523e+02,1.627439e+00,2.605571e-01
3.929648e+02,1.624944e+00,2.466251e-01
3.954774e+02,1.622386e+00,2.316504e-01
3.979899e+02,1.619778e+00,2.154157e-01
4.005025e+02,1.617132e+00,1.976108e-01
4.030151e+02,1.614458e+00,1.777643e-01
4.055276e+02,1.611769e+00,1.550946e-01
4.080402e+02,1.609076e+00,1.281116e-01
4.105528e+02,1.606388e+00,9.313912e-02
4.130653e+02,1.603717e+00,2.900434e-02
4.155779e+02,1.601071e+00,1.653532e-05
4.180905e+02,1.598460e+00,1.663529e-05
4.206030e+02,1.595892e+00,1.673526e-05
4.231156e+02,1.593375e+00,1.683523e-05
4.256281e+02,1.590914e+00,1.693521e-05
4.281407e+02,1.588517e+00,1.703518e-05
4.306533e+02,1.586190e+00,1.713515e-05
4.331658e+02,1.583935e+00,1.723512e-05
4.356784e+02,1.581759e+00,1.733509e-05
4.381910e+02,1.579663e+00,1.743506e-05
4.407035e+02,1.577652e+00,1.753504e-05
4.432161e+02,1.575725e+00,1.763501e-05
4.457286e+02,1.573886e+00,1.773498e-05
4.482412e+02,1.572135e+00,1.783495e-05
4.507538e+02,1.570471e+00,1.793492e-05
4.532663e+02,1.568896e+00,1.803489e-05
4.557789e+02,1.567407e+00,1.813487e-05
4.582915e+02,1.566004e+00,1.823484e-05
4.608040e+02,1.564685e+00,1.833481e-05
4.633166e+02,1.563448e+00,1.843478e-05
4.658291e+02,1.562291e+00,1.853475e-05
4.683417e+02,1.561211e+00,1.863472e-05
4.708543e+02,1.560206e+00,1.873470e-05
4.733668e+02,1.559273e+00,1.883467e-05
4.758794e+02,1.558409e+00,1.893464e-05
4.783920e+02,1.557610e+00,1.903461e-05
4.809045e+02,1.556873e+00,1.913458e-05
4.834171e+02,1.556196e+00,1.923455e-05
4.859296e+02,1.555574e+00,1.933453e-05
4.884422e+02,1.555005e+00,1.943450e-05
4.909548e+02,1.554485e+00,1.953447e-05
4.934673e+02,1.554011e+00,1.963444e-05
4.959799e+02,1.553580e+00,1.973441e-05
4.984925e+02,1.553189e+00,1.983438e-05
5.010050e+02,1.552836e+00,1.993436e-05
5.035176e+02,1.552516e+00,2.003433e-05
5.060302e+02,1.552228e+00,2.013430e-05
5.085427e+02,1.551969e+00,2.023427e-05
5.110553e+02,1.551737e+00,2.033424e-05
5.135678e+02,1.551529e+00,2.043422e-05
5.160804e+02,1.551344e+00,2.053419e-05
5.185930e+02,1.551178e+00,2.063416e-05
5.211055e+02,1.551031e+00,2.073413e-05
5.236181e+02,1.550901e+00,2.083410e-05
5.261307e+02,1.550785e+00,2.093407e-05
